"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Totalmente seguro",0.735,0.751,0.72,0.757,0.745,0.732,0.677,0.716,0.718,0.781,0.799,0.714,0.663,0.721,0.727,0.768,0.744,0.811,0.638,0.78,0.451,0.67
"Bastante seguro",0.128,0.132,0.124,0.121,0.119,0.127,0.163,0.14,0.136,0.1,0.107,0.135,0.172,0.124,0.146,0.105,0.126,0.12,0.138,0.128,0.089,0.133
"Algo seguro",0.059,0.05,0.068,0.055,0.057,0.056,0.074,0.065,0.055,0.06,0.043,0.067,0.064,0.063,0.047,0.048,0.064,0.035,0.097,0.045,0.203,0.061
"Para nada seguro",0.078,0.067,0.088,0.067,0.079,0.085,0.086,0.079,0.091,0.059,0.051,0.084,0.101,0.092,0.08,0.079,0.066,0.034,0.127,0.047,0.257,0.136
