"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Muy buena",0.351,0.405,0.304,0.304,0.337,0.411,0.384,0.441,0.304,0.308,0.507,0.21,0.345,0.306,0.235,0.5,0.427,0.517,0.199,0.298,0.314,0.089
"Buena",0.122,0.11,0.133,0.143,0.112,0.125,0.109,0.077,0.116,0.185,0.122,0.178,0.003,0.154,0.113,0.024,0.114,0.125,0.109,0.165,0.076,0.017
"Ni buena ni mala",0.334,0.276,0.384,0.355,0.382,0.228,0.323,0.29,0.387,0.311,0.229,0.408,0.497,0.292,0.489,0.266,0.299,0.282,0.46,0.26,0.492,0.42
"Mala",0.125,0.145,0.108,0.147,0.103,0.129,0.134,0.13,0.111,0.14,0.1,0.163,0.05,0.163,0.11,0.023,0.115,0.043,0.155,0.254,0.028,0.133
"Muy mala",0.039,0.053,0.026,0.02,0.03,0.071,0.049,0.062,0.032,0.021,0.029,0.034,0.076,0.061,0.008,0.157,0.019,0.018,0.07,0.012,0.09,0.142
"No sabe",0.029,0.011,0.045,0.031,0.036,0.036,0.001,0,0.05,0.035,0.013,0.007,0.029,0.024,0.045,0.03,0.026,0.015,0.007,0.011,0,0.199
