"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Unión por la Patria",0.478,0.446,0.506,0.45,0.508,0.487,0.437,0.517,0.465,0.453,0.801,0.145,0.462,0.415,0.461,0.485,0.537,0.886,0.166,0.085,0.508,0.225
"Juntos por el Cambio",0.522,0.554,0.494,0.55,0.492,0.513,0.563,0.483,0.535,0.547,0.199,0.855,0.538,0.585,0.539,0.515,0.463,0.114,0.834,0.915,0.492,0.775
