"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.156,0.194,0.261,0.237
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.04,0.045,0.023
"P31","Otro candidato",0.223,0.185,0.213,0.246
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.238,0.254,0.292,0.26
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.38,0.364,0.3,0.139
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.104,0.161,0.212,0.229
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.061,0.048,0.038,0.05
"P33","Otro candidato",0.217,0.173,0.158,0.322
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.269,0.273,0.293,0.254
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.377,0.343,0.211,0.18
"P35","Javier Milei – José Luis Espert por los liberales",0.143,0.18,0.256,0.235
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.018,0.035,0.04,0.031
"P35","Otro candidato",0.193,0.169,0.2,0.3
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.162,0.299,0.365,0.411
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.524,0.355,0.22,0.174
"P37","Javier Milei – José Luis Espert por los liberales",0.092,0.187,0.262,0.237
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.029,0.021,0.008
"P37","Otro candidato",0.193,0.13,0.132,0.17
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.175,0.259,0.302,0.266
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.404,0.373,0.285,0.167
"P38","Javier Milei – José Luis Espert por los liberales",0.135,0.164,0.216,0.242
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.036,0.039,0.025
"P38","Otro candidato",0.232,0.168,0.158,0.3
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.221,0.313,0.392,0.42
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.464,0.456,0.39,0.248
"P39","No sabe",0.315,0.231,0.218,0.332
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.171,0.266,0.321,0.331
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.622,0.491,0.318,0.278
"P40","No sabe",0.207,0.243,0.361,0.391
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.199,0.275,0.337,0.308
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.489,0.476,0.428,0.281
"P41","No sabe",0.312,0.249,0.235,0.411
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.177,0.284,0.383,0.458
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.597,0.525,0.351,0.265
"P42","No sabe",0.226,0.191,0.266,0.277
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.172,0.244,0.343,0.34
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.637,0.518,0.336,0.24
"P43","No sabe",0.191,0.238,0.321,0.42
