"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.001,0.01
"P35","Otro candidato",0.108,0.2,0.195
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.027,0.021,0.128
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.549,0.599,0.636
"P37","Javier Milei – José Luis Espert por los liberales",0.321,0.211,0.057
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0,0.001,0.007
"P37","Otro candidato",0.103,0.168,0.172
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.007,0.003,0.107
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.72,0.758,0.703
"P38","Javier Milei – José Luis Espert por los liberales",0.155,0.104,0.033
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0,0,0.018
"P38","Otro candidato",0.118,0.135,0.139
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.095,0.029,0.151
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.759,0.85,0.689
"P39","No sabe",0.146,0.121,0.16
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.062,0.012,0.125
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.692,0.727,0.708
"P40","No sabe",0.246,0.261,0.167
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.057,0.011,0.12
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.821,0.813,0.753
"P41","No sabe",0.122,0.176,0.127
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.055,0.009,0.105
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.753,0.742,0.752
"P42","No sabe",0.192,0.249,0.143
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.033,0.01,0.108
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.692,0.789,0.724
"P43","No sabe",0.275,0.201,0.168
"P44","Mauricio Macri – María Eugenia Vidal",0.721,0.743,0.672
"P44","Sergio Massa – Wado de Pedro",0.121,0.106,0.19
"P44","No sabe",0.158,0.151,0.138
"P45","Sergio Massa – Wado de Pedro",0.109,0.091,0.132
"P45","Javier Milei – José Luis Espert",0.538,0.554,0.301
"P45","No sabe",0.353,0.355,0.567
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.481,0.494,0.642
"P46","Javier Milei – José Luis Espert",0.339,0.34,0.109
"P46","No sabe",0.18,0.166,0.249
"P47","Muy buena",0.025,0.054,0.067
"P47","Buena",0.059,0.027,0.037
"P47","Ni buena ni mala",0.014,0.026,0.079
"P47","Mala",0.101,0.071,0.122
"P47","Muy mala",0.793,0.796,0.691
"P47","No sabe",0.008,0.026,0.004
"P48","Muy buena",0.005,0.007,0.019
"P48","Buena",0.005,0,0.051
"P48","Ni buena ni mala",0.064,0.001,0.058
"P48","Mala",0.047,0.087,0.11
"P48","Muy mala",0.871,0.894,0.748
"P48","No sabe",0.008,0.011,0.014
"P49","Muy buena",0.015,0.003,0.065
"P49","Buena",0,0.007,0.024
"P49","Ni buena ni mala",0.03,0.001,0.033
"P49","Mala",0.033,0.018,0.06
"P49","Muy mala",0.922,0.967,0.81
"P49","No sabe",0,0.004,0.008
"P50","Muy buena",0.342,0.299,0.323
"P50","Buena",0.194,0.342,0.266
"P50","Ni buena ni mala",0.199,0.165,0.194
"P50","Mala",0.058,0.031,0.041
"P50","Muy mala",0.207,0.158,0.169
"P50","No sabe",0,0.005,0.007
"P51","Muy buena",0.34,0.263,0.31
"P51","Buena",0.337,0.396,0.343
"P51","Ni buena ni mala",0.192,0.251,0.218
"P51","Mala",0.104,0.06,0.037
"P51","Muy mala",0.027,0.025,0.091
"P51","No sabe",0,0.005,0.001
"P52","Muy buena",0.049,0.029,0.048
"P52","Buena",0.071,0.052,0.06
"P52","Ni buena ni mala",0.092,0.111,0.154
"P52","Mala",0.139,0.148,0.154
"P52","Muy mala",0.649,0.654,0.58
"P52","No sabe",0,0.006,0.004
"P53","Muy buena",0.485,0.537,0.51
"P53","Buena",0.227,0.242,0.19
"P53","Ni buena ni mala",0.042,0.129,0.141
"P53","Mala",0.085,0.027,0.05
"P53","Muy mala",0.161,0.065,0.107
"P53","No sabe",0,0,0.002
"P54","Muy buena",0.245,0.075,0.08
"P54","Buena",0.272,0.339,0.054
"P54","Ni buena ni mala",0.355,0.458,0.405
"P54","Mala",0.079,0.059,0.24
"P54","Muy mala",0.049,0.047,0.218
"P54","No sabe",0,0.022,0.003
"P55","Muy buena",0.359,0.293,0.276
"P55","Buena",0.291,0.418,0.285
"P55","Ni buena ni mala",0.261,0.206,0.248
"P55","Mala",0.069,0.042,0.068
"P55","Muy mala",0.02,0.031,0.115
"P55","No sabe",0,0.01,0.008
"P56","Muy buena",0.029,0.023,0.023
"P56","Buena",0.028,0.04,0.066
"P56","Ni buena ni mala",0.115,0.088,0.108
"P56","Mala",0.183,0.212,0.229
"P56","Muy mala",0.636,0.637,0.559
"P56","No sabe",0.009,0,0.015
"P57","Muy buena",0.037,0.072,0.078
"P57","Buena",0.117,0.123,0.121
"P57","Ni buena ni mala",0.231,0.302,0.302
"P57","Mala",0.288,0.177,0.228
"P57","Muy mala",0.324,0.301,0.25
"P57","No sabe",0.003,0.025,0.021
"P58","Muy buena",0.097,0.058,0.112
"P58","Buena",0.191,0.239,0.193
"P58","Ni buena ni mala",0.355,0.463,0.396
"P58","Mala",0.179,0.103,0.137
"P58","Muy mala",0.142,0.111,0.095
"P58","No sabe",0.036,0.026,0.067
"P59","Siempre",0.275,0.273,0.348
"P59","Casi siempre",0.367,0.471,0.403
"P59","Casi nunca",0.175,0.222,0.176
"P59","Nunca, pero esta es una excepción",0.183,0.034,0.073
"P60","Si",0.537,0.559,0.583
"P60","No",0.463,0.441,0.417
