"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.439,0.497,0.379
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.183,0.178
"P04","No tengo trabajo",0.13,0.164,0.173
"P04","Soy jubilado o pensionado",0.236,0.156,0.27
"P05","1",0.204,0.382,0.312
"P05","2",0.069,0.066,0.038
"P05","3",0.029,0.102,0.049
"P05","4",0.053,0.106,0.1
"P05","5",0.149,0.166,0.236
"P05","6",0.057,0.037,0.045
"P05","7",0.136,0.04,0.04
"P05","8",0.069,0.023,0.049
"P05","9",0.234,0.078,0.131
"P06","1",0.452,0.153,0.262
"P06","2",0.048,0.036,0.043
"P06","3",0.049,0.036,0.034
"P06","4",0.069,0.038,0.035
"P06","5",0.161,0.17,0.254
"P06","6",0.03,0.056,0.048
"P06","7",0.045,0.117,0.057
"P06","8",0.017,0.084,0.047
"P06","9",0.129,0.31,0.22
"P07","1",0.568,0.234,0.321
"P07","2",0.042,0.039,0.046
"P07","3",0.022,0.038,0.022
"P07","4",0.015,0.04,0.019
"P07","5",0.104,0.164,0.125
"P07","6",0.016,0.022,0.021
"P07","7",0.019,0.055,0.042
"P07","8",0.016,0.045,0.049
"P07","9",0.198,0.363,0.355
"P09","Del Frente de Todos y el peronismo",0.745,0.093,0.202
"P09","De Cambiemos",0.124,0.406,0.495
"P09","De los Liberales libertarios",0.025,0.394,0.081
"P09","De la Izquierda",0.032,0.013,0.058
"P09","No sabe",0.074,0.094,0.164
"P10","A Alberto Fernández",0.16,0.119,0.338
"P10","A Sergio Massa",0.234,0.31,0.047
"P10","A algún candidato del peronismo",0.095,0.232,0.323
"P10","A algún candidato del kirchnerismo",0.511,0.339,0.292
"P11","A Alberto Fernández",0.09,0.048,0.224
"P11","A Sergio Massa",0.15,0.212,0.028
"P11","A algún candidato del peronismo",0.049,0.274,0.285
"P11","A Cristina Fernández de Kirchner",0.711,0.466,0.463
"P12","A Horacio Rodriguez Larreta",0.204,0.194,0.308
"P12","A Mauricio Macri",0.25,0.356,0.345
"P12","A Patricia Bullrich",0.159,0.415,0.249
