"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.266,0.425,0.428,0.474
"P04","Realizo changas o trabajos de vez en cuando",0.304,0.197,0.161,0.15
"P04","No tengo trabajo",0.287,0.15,0.209,0.162
"P04","Soy jubilado o pensionado",0.143,0.228,0.202,0.214
"P05","1",0.279,0.288,0.272,0.126
"P05","2",0.11,0.071,0.031,0.039
"P05","3",0.043,0.018,0.048,0.024
"P05","4",0.057,0.06,0.116,0.048
"P05","5",0.14,0.194,0.237,0.132
"P05","6",0.036,0.037,0.016,0.056
"P05","7",0.042,0.064,0.137,0.2
"P05","8",0.053,0.044,0.027,0.111
"P05","9",0.24,0.224,0.116,0.264
"P06","1",0.507,0.359,0.339,0.556
"P06","2",0.091,0.024,0.028,0.066
"P06","3",0.047,0.022,0.105,0.069
"P06","4",0.039,0.049,0.05,0.065
"P06","5",0.119,0.195,0.237,0.108
"P06","6",0.029,0.044,0.019,0.016
"P06","7",0.026,0.064,0.073,0.019
"P06","8",0.024,0.03,0.038,0.014
"P06","9",0.118,0.213,0.111,0.087
"P07","1",0.366,0.557,0.404,0.712
"P07","2",0.071,0.02,0.035,0.055
"P07","3",0.014,0.026,0.024,0.02
"P07","4",0.006,0.017,0.029,0.023
"P07","5",0.093,0.085,0.128,0.04
"P07","6",0.026,0.011,0.005,0.005
"P07","7",0.007,0.032,0.041,0.003
"P07","8",0.007,0.009,0.076,0.012
"P07","9",0.41,0.243,0.258,0.13
"P11","A Alberto Fernández",0.58,0.057,0.052,0.005
"P11","A Sergio Massa",0.046,0.489,0.028,0.014
"P11","A algún candidato del peronismo",0.045,0.082,0.546,0.027
"P11","A Cristina Fernández de Kirchner",0.329,0.372,0.374,0.954
"P14","Lo votaría",0.105,0.053,0.094,0.028
"P14","Puede que lo vote",0.088,0.13,0.063,0.005
"P14","Nunca lo votaría",0.739,0.71,0.767,0.944
"P14","No sabe",0.068,0.107,0.076,0.023
"P15","Lo votaría",0.181,0.607,0.127,0.128
"P15","Puede que lo vote",0.334,0.229,0.373,0.483
"P15","Nunca lo votaría",0.365,0.125,0.46,0.272
"P15","No sabe",0.12,0.039,0.04,0.117
"P16","Lo votaría",0.662,0.292,0.142,0.139
"P16","Puede que lo vote",0.169,0.424,0.369,0.458
"P16","Nunca lo votaría",0.093,0.215,0.409,0.294
"P16","No sabe",0.076,0.069,0.08,0.109
"P17","La votaría",0.802,0.672,0.548,0.915
"P17","Puede que la vote",0.126,0.141,0.193,0.039
"P17","Nunca la votaría",0.048,0.151,0.245,0.031
"P17","No sabe",0.024,0.036,0.014,0.015
"P18","Lo votaría",0.181,0.144,0.118,0.05
"P18","Puede que lo vote",0.091,0.118,0.152,0.013
"P18","Nunca lo votaría",0.581,0.712,0.691,0.92
"P18","No sabe",0.147,0.026,0.039,0.017
"P19","Lo votaría",0.042,0.084,0.034,0.025
"P19","Puede que lo vote",0.176,0.273,0.227,0.129
"P19","Nunca lo votaría",0.569,0.545,0.604,0.73
"P19","No sabe",0.213,0.098,0.135,0.116
"P20","La votaría",0.073,0.064,0.101,0.015
"P20","Puede que la vote",0.105,0.061,0.15,0.015
"P20","Nunca la votaría",0.699,0.839,0.711,0.942
"P20","No sabe",0.123,0.036,0.038,0.028
"P21","Lo votaría",0.062,0.119,0.098,0.021
"P21","Puede que lo vote",0.126,0.065,0.122,0.013
"P21","Nunca lo votaría",0.675,0.789,0.765,0.932
"P21","No sabe",0.137,0.027,0.015,0.034
"P22","La votaría",0.032,0.096,0.08,0.009
"P22","Puede que la vote",0.11,0.066,0.119,0.013
"P22","Nunca la votaría",0.694,0.769,0.724,0.961
"P22","No sabe",0.164,0.069,0.077,0.017
"P23","Lo votaría",0.22,0.217,0.091,0.187
"P23","Puede que lo vote",0.292,0.399,0.418,0.529
"P23","Nunca lo votaría",0.388,0.337,0.38,0.226
"P23","No sabe",0.1,0.047,0.111,0.058
"P24","Lo votaría",0.059,0.043,0.02,0.01
"P24","Puede que lo vote",0.18,0.209,0.14,0.051
"P24","Nunca lo votaría",0.622,0.672,0.747,0.838
"P24","No sabe",0.139,0.076,0.093,0.101
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.025,0.016,0.151,0.006
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.003,0.036,0.048,0.007
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.236,0.077,0.093,0.013
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.705,0.774,0.608,0.945
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.012,0.061,0.012,0.013
"P25","Nicolás del Caño – Myriam Bregman",0,0.003,0.019,0.004
"P25","Otros candidatos",0.019,0.033,0.069,0.012
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.838,0.876,0.673,0.943
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.049,0.025,0.159,0.014
"P29","Javier Milei – José Luis Espert por los liberales",0.045,0.063,0.034,0.021
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.002,0.045,0.015
"P29","Otro candidato",0.055,0.034,0.089,0.007
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.16,0.119,0.189,0.055
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.719,0.671,0.412,0.555
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.068,0.063,0.042,0.018
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.005,0.006,0.059,0.078
"P31","Otro candidato",0.048,0.141,0.298,0.294
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.531,0.81,0.406,0.685
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.069,0.054,0.175,0.02
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.074,0.075,0.01,0.02
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.047,0.004,0.054,0.057
"P33","Otro candidato",0.279,0.057,0.355,0.218
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.574,0.729,0.395,0.7
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.055,0.123,0.187,0.011
"P35","Javier Milei – José Luis Espert por los liberales",0.08,0.059,0.017,0.006
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.042,0.006,0.03,0.047
"P35","Otro candidato",0.249,0.083,0.371,0.236
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.833,0.837,0.715,0.92
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.05,0.069,0.144,0.038
"P37","Javier Milei – José Luis Espert por los liberales",0.016,0.058,0.019,0.003
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.009,0,0.023,0.005
"P37","Otro candidato",0.092,0.036,0.099,0.034
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.626,0.852,0.402,0.744
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.037,0.03,0.181,0.017
"P38","Javier Milei – José Luis Espert por los liberales",0.072,0.062,0.016,0.008
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.007,0.051,0.039
"P38","Otro candidato",0.233,0.049,0.35,0.192
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.87,0.833,0.681,0.954
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.06,0.086,0.236,0.033
"P39","No sabe",0.07,0.081,0.083,0.013
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.803,0.721,0.42,0.766
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.02,0.06,0.23,0.016
"P40","No sabe",0.177,0.219,0.35,0.218
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.558,0.831,0.427,0.849
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.061,0.02,0.204,0.008
"P41","No sabe",0.381,0.149,0.369,0.143
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.73,0.873,0.708,0.976
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.085,0.054,0.177,0.009
"P42","No sabe",0.185,0.073,0.115,0.015
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.65,0.836,0.378,0.85
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.052,0.045,0.189,0.023
"P43","No sabe",0.298,0.119,0.433,0.127
"P44","Mauricio Macri – María Eugenia Vidal",0.123,0.074,0.19,0.086
"P44","Sergio Massa – Wado de Pedro",0.512,0.811,0.438,0.775
"P44","No sabe",0.365,0.115,0.372,0.139
"P45","Sergio Massa – Wado de Pedro",0.587,0.802,0.433,0.796
"P45","Javier Milei – José Luis Espert",0.063,0.152,0.151,0.076
"P45","No sabe",0.35,0.046,0.416,0.128
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.203,0.246,0.184,0.103
"P46","Javier Milei – José Luis Espert",0.035,0.1,0.071,0.04
"P46","No sabe",0.762,0.654,0.745,0.857
"P47","Muy buena",0.281,0.203,0.159,0.071
"P47","Buena",0.279,0.324,0.111,0.415
"P47","Ni buena ni mala",0.333,0.293,0.311,0.344
"P47","Mala",0.09,0.077,0.201,0.145
"P47","Muy mala",0.014,0.097,0.218,0.019
"P47","No sabe",0.003,0.006,0,0.006
"P48","Muy buena",0.47,0.191,0.062,0.086
"P48","Buena",0.399,0.418,0.21,0.378
"P48","Ni buena ni mala",0.104,0.251,0.274,0.319
"P48","Mala",0.008,0.075,0.177,0.174
