"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P04","Tengo trabajo estable",0.392,0.396,0.354,0.386,0.506,0.658,0.442
"P04","Realizo changas o trabajos de vez en cuando",0.171,0.195,0.297,0.204,0.205,0.117,0.203
"P04","No tengo trabajo",0.151,0.152,0.119,0.21,0.187,0.154,0.165
"P04","Soy jubilado o pensionado",0.286,0.257,0.23,0.2,0.102,0.071,0.19
"P05","1",0.403,0.317,0.264,0.2,0.396,0.066,0.232
"P05","2",0.067,0.043,0.095,0.069,0.068,0.028,0.054
"P05","3",0.11,0.062,0.086,0.022,0.095,0,0.047
"P05","4",0.103,0.114,0.06,0.047,0.065,0.09,0.117
"P05","5",0.166,0.269,0.231,0.159,0.19,0.194,0.285
"P05","6",0.023,0.042,0.011,0.042,0.047,0.081,0.041
"P05","7",0.03,0.028,0.084,0.146,0.023,0.089,0.089
"P05","8",0.022,0.048,0.056,0.077,0.018,0.16,0.014
"P05","9",0.076,0.077,0.113,0.238,0.098,0.292,0.121
"P06","1",0.167,0.173,0.264,0.494,0.163,0.201,0.199
"P06","2",0.048,0.042,0.098,0.06,0.011,0.075,0.032
"P06","3",0.039,0.026,0.053,0.061,0.011,0.026,0.026
"P06","4",0.026,0.061,0.089,0.045,0.028,0.084,0.063
"P06","5",0.166,0.295,0.301,0.147,0.178,0.402,0.281
"P06","6",0.037,0.076,0.01,0.025,0.049,0,0.052
"P06","7",0.101,0.066,0.044,0.028,0.085,0.074,0.106
"P06","8",0.068,0.063,0.025,0.02,0.097,0.057,0.054
"P06","9",0.348,0.198,0.116,0.12,0.378,0.081,0.187
"P07","1",0.216,0.237,0.363,0.612,0.21,0.641,0.344
"P07","2",0.036,0.059,0.073,0.05,0.017,0.046,0.026
"P07","3",0.032,0.034,0.033,0.026,0.015,0.019,0.047
"P07","4",0.02,0.012,0.041,0.016,0.052,0,0.026
"P07","5",0.14,0.162,0.106,0.067,0.163,0.051,0.129
"P07","6",0.016,0.037,0.028,0.009,0.026,0.013,0.031
"P07","7",0.051,0.08,0.035,0.009,0.05,0.007,0.049
"P07","8",0.057,0.058,0.01,0.018,0.055,0.023,0.04
"P07","9",0.432,0.321,0.311,0.193,0.412,0.2,0.308
"P09","Del Frente de Todos y el peronismo",0.064,0.048,0.612,0.828,0.039,0.059,0.076
"P09","De Cambiemos",0.808,0.665,0.102,0.068,0.083,0.107,0.277
"P09","De los Liberales libertarios",0.052,0.117,0.081,0.004,0.742,0.081,0.094
"P09","De la Izquierda",0.01,0.019,0.003,0.017,0.011,0.611,0.087
"P09","No sabe",0.066,0.151,0.202,0.083,0.125,0.142,0.466
"P10","A Alberto Fernández",0.139,0.036,0.565,0.177,0.11,0,0.145
"P10","A Sergio Massa",0.092,0.395,0.187,0.196,0.557,0.102,0.246
"P10","A algún candidato del peronismo",0.693,0.416,0.179,0.122,0.09,0.593,0.414
"P10","A algún candidato del kirchnerismo",0.076,0.153,0.069,0.505,0.243,0.305,0.195
"P11","A Alberto Fernández",0.139,0,0.521,0.105,0.11,0,0
"P11","A Sergio Massa",0.069,0.396,0.256,0.104,0.128,0.083,0.207
"P11","A algún candidato del peronismo",0.73,0.488,0.084,0.07,0.762,0.168,0.497
"P11","A Cristina Fernández de Kirchner",0.062,0.116,0.139,0.721,0,0.749,0.296
"P12","A Horacio Rodriguez Larreta",0.112,0.606,0.151,0.328,0.259,0.658,0.037
"P12","A Mauricio Macri",0.56,0.087,0,0.174,0.272,0,0.193
"P12","A Patricia Bullrich",0.313,0.164,0.137,0.018,0.45,0.22,0.562
"P12","A Facundo Manes",0.013,0.1,0.35,0.405,0.014,0.122,0.184
"P12","A Gerardo Morales",0.002,0.043,0.362,0.075,0.005,0,0.024
