"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.085,0.007,0.005,0.054,0.073
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.871,0.025,0.014,0.16,0.025
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.006,0.033,0.822,0.028,0.049
"P25","Nicolás del Caño – Myriam Bregman",0.002,0.006,0.011,0.578,0.01
"P25","Otros candidatos",0.012,0.041,0.041,0.09,0.549
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.101,0.652,0.053,0.073,0.246
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.611,0.087,0.012,0.051,0.073
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.02,0.125,0.908,0.084,0.043
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.038,0.007,0.001,0.755,0.009
"P31","Otro candidato",0.23,0.129,0.026,0.037,0.629
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.683,0.045,0.031,0.124,0.091
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.033,0.799,0.145,0.057,0.294
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.019,0.057,0.802,0.017,0.044
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.042,0.017,0.004,0.746,0.005
"P33","Otro candidato",0.223,0.082,0.018,0.056,0.566
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.662,0.083,0.051,0.097,0.108
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.064,0.642,0.046,0.05,0.27
"P35","Javier Milei – José Luis Espert por los liberales",0.024,0.134,0.853,0.022,0.045
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.041,0.004,0.002,0.697,0.007
"P35","Otro candidato",0.209,0.137,0.048,0.134,0.57
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.909,0.044,0.016,0.101,0.047
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.041,0.686,0.061,0.06,0.321
"P37","Javier Milei – José Luis Espert por los liberales",0.006,0.135,0.867,0.023,0.075
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.003,0.002,0.684,0.004
"P37","Otro candidato",0.039,0.132,0.054,0.132,0.553
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.727,0.021,0.031,0.12,0.064
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.03,0.883,0.062,0,0.184
"P38","Javier Milei – José Luis Espert por los liberales",0.02,0.048,0.856,0.023,0.056
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.037,0.003,0.011,0.736,0.008
"P38","Otro candidato",0.186,0.045,0.04,0.121,0.688
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.914,0.052,0.041,0.243,0.076
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.038,0.905,0.409,0.081,0.287
"P39","No sabe",0.048,0.043,0.55,0.676,0.637
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.756,0.027,0.031,0.208,0.074
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.021,0.794,0.411,0.158,0.392
"P40","No sabe",0.223,0.179,0.558,0.634,0.534
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.768,0.027,0.03,0.37,0.108
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.02,0.884,0.575,0.077,0.367
"P41","No sabe",0.212,0.089,0.395,0.553,0.525
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.911,0.021,0.032,0.31,0.061
