"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.432,0.428,0.446
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.191,0.181
"P04","No tengo trabajo",0.148,0.141,0.185
"P04","Soy jubilado o pensionado",0.232,0.24,0.188
"P05","1",0.177,0.373,0.338
"P05","2",0.063,0.075,0.04
"P05","3",0.032,0.089,0.059
"P05","4",0.061,0.105,0.086
"P05","5",0.14,0.2,0.207
"P05","6",0.054,0.039,0.044
"P05","7",0.152,0.024,0.043
"P05","8",0.085,0.018,0.05
"P05","9",0.236,0.077,0.133
"P06","1",0.478,0.136,0.274
"P06","2",0.047,0.046,0.034
"P06","3",0.065,0.03,0.029
"P06","4",0.064,0.035,0.04
"P06","5",0.158,0.226,0.2
"P06","6",0.033,0.058,0.036
"P06","7",0.031,0.106,0.073
"P06","8",0.014,0.083,0.048
"P06","9",0.11,0.28,0.266
"P07","1",0.631,0.199,0.332
"P07","2",0.047,0.048,0.033
"P07","3",0.032,0.032,0.014
"P07","4",0.019,0.024,0.033
"P07","5",0.091,0.167,0.121
"P07","6",0.006,0.032,0.017
"P07","7",0.011,0.06,0.037
"P07","8",0.017,0.055,0.038
"P07","9",0.146,0.383,0.375
"P09","Del Frente de Todos y el peronismo",0.807,0.052,0.227
"P09","De Cambiemos",0.069,0.662,0.219
"P09","De los Liberales libertarios",0.01,0.193,0.317
"P09","De la Izquierda",0.034,0.006,0.063
"P09","No sabe",0.08,0.087,0.174
"P10","A Alberto Fernández",0.172,0.176,0.285
"P10","A Sergio Massa",0.236,0.162,0.121
"P10","A algún candidato del peronismo",0.077,0.484,0.316
"P10","A algún candidato del kirchnerismo",0.515,0.178,0.278
"P11","A Alberto Fernández",0.085,0.173,0.231
"P11","A Sergio Massa",0.152,0.162,0.038
"P11","A algún candidato del peronismo",0.053,0.473,0.269
"P11","A Cristina Fernández de Kirchner",0.71,0.192,0.462
"P12","A Horacio Rodriguez Larreta",0.213,0.274,0.137
"P12","A Mauricio Macri",0.107,0.358,0.371
"P12","A Patricia Bullrich",0,0.308,0.406
"P12","A Facundo Manes",0.546,0.045,0.067
"P12","A Gerardo Morales",0.134,0.015,0.019
"P13","Seguro lo votaria",0.097,0.173,0.257
"P13","Quizás lo votaría",0.053,0.349,0.33
