"var","categoria","Mauricio Macri – María Eugenia Vidal","Sergio Massa – Wado de Pedro","No sabe"
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.623,0.129,0.057
"P38","Javier Milei – José Luis Espert por los liberales",0.206,0.056,0.36
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.039,0.067
"P38","Otro candidato",0.083,0.098,0.427
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.104,0.745,0.253
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.809,0.166,0.106
"P39","No sabe",0.087,0.089,0.641
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.085,0.652,0.174
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.736,0.183,0.133
"P40","No sabe",0.179,0.165,0.693
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.095,0.76,0.081
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.839,0.147,0.213
"P41","No sabe",0.066,0.093,0.706
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.083,0.764,0.227
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.762,0.185,0.163
"P42","No sabe",0.155,0.051,0.61
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.097,0.757,0.066
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.755,0.192,0.121
"P43","No sabe",0.148,0.051,0.813
"P45","Sergio Massa – Wado de Pedro",0.177,0.697,0.056
"P45","Javier Milei – José Luis Espert",0.503,0.213,0.338
"P45","No sabe",0.32,0.09,0.606
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.515,0.193,0.114
"P46","Javier Milei – José Luis Espert",0.352,0.142,0.332
"P46","No sabe",0.133,0.665,0.554
"P47","Muy buena",0.059,0.131,0.058
"P47","Buena",0.051,0.296,0.095
"P47","Ni buena ni mala",0.051,0.276,0.224
"P47","Mala",0.09,0.143,0.135
"P47","Muy mala",0.741,0.15,0.457
"P47","No sabe",0.008,0.004,0.031
"P48","Muy buena",0.03,0.127,0.097
"P48","Buena",0.036,0.336,0.071
"P48","Ni buena ni mala",0.039,0.22,0.155
"P48","Mala",0.086,0.14,0.136
"P48","Muy mala",0.804,0.175,0.504
"P48","No sabe",0.005,0.002,0.037
"P49","Muy buena",0.068,0.542,0.197
"P49","Buena",0.014,0.154,0.078
"P49","Ni buena ni mala",0.015,0.067,0.084
"P49","Mala",0.028,0.049,0.083
"P49","Muy mala",0.874,0.187,0.531
"P49","No sabe",0.001,0.001,0.027
"P50","Muy buena",0.296,0.074,0.059
"P50","Buena",0.32,0.059,0.049
"P50","Ni buena ni mala",0.2,0.05,0.206
"P50","Mala",0.06,0.172,0.23
"P50","Muy mala",0.121,0.645,0.435
"P50","No sabe",0.003,0,0.021
"P51","Muy buena",0.239,0.081,0.074
"P51","Buena",0.367,0.085,0.104
"P51","Ni buena ni mala",0.224,0.133,0.242
"P51","Mala",0.087,0.186,0.171
"P51","Muy mala",0.082,0.51,0.353
"P51","No sabe",0.001,0.005,0.056
"P52","Muy buena",0.038,0.193,0.026
"P52","Buena",0.054,0.335,0.081
"P52","Ni buena ni mala",0.091,0.257,0.283
"P52","Mala",0.15,0.114,0.156
"P52","Muy mala",0.663,0.1,0.42
"P52","No sabe",0.004,0.001,0.034
"P53","Muy buena",0.494,0.091,0.142
"P53","Buena",0.225,0.09,0.124
"P53","Ni buena ni mala",0.1,0.106,0.225
"P53","Mala",0.048,0.127,0.16
"P53","Muy mala",0.131,0.581,0.306
"P53","No sabe",0.002,0.005,0.043
"P54","Muy buena",0.191,0.063,0.249
"P54","Buena",0.19,0.07,0.103
"P54","Ni buena ni mala",0.332,0.151,0.234
"P54","Mala",0.14,0.142,0.1
"P54","Muy mala",0.138,0.566,0.28
"P54","No sabe",0.009,0.008,0.034
"P55","Muy buena",0.294,0.05,0.1
"P55","Buena",0.336,0.071,0.107
"P55","Ni buena ni mala",0.187,0.129,0.21
"P55","Mala",0.095,0.162,0.147
"P55","Muy mala",0.084,0.582,0.378
"P55","No sabe",0.004,0.006,0.058
"P56","Muy buena",0.038,0.175,0.05
"P56","Buena",0.059,0.344,0.097
"P56","Ni buena ni mala",0.081,0.252,0.207
"P56","Mala",0.189,0.115,0.164
"P56","Muy mala",0.629,0.111,0.443
"P56","No sabe",0.004,0.003,0.039
"P57","Muy buena",0.053,0.062,0.072
"P57","Buena",0.155,0.133,0.11
"P57","Ni buena ni mala",0.29,0.376,0.334
"P57","Mala",0.208,0.199,0.142
"P57","Muy mala",0.277,0.188,0.244
"P57","No sabe",0.017,0.042,0.098
"P58","Muy buena",0.072,0.025,0.033
"P58","Buena",0.196,0.071,0.079
"P58","Ni buena ni mala",0.396,0.294,0.362
"P58","Mala",0.132,0.185,0.105
"P58","Muy mala",0.151,0.381,0.299
"P58","No sabe",0.053,0.044,0.122
"P59","Siempre",0.302,0.324,0.293
"P59","Casi siempre",0.446,0.414,0.3
"P59","Casi nunca",0.177,0.166,0.253
"P59","Nunca, pero esta es una excepción",0.075,0.096,0.154
"P60","Si",0.569,0.565,0.52
"P60","No",0.431,0.435,0.48
