"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.779,0.316,0.259,0.212
"P05","Bastante",0.106,0.513,0.249,0.16
"P05","Poco",0.07,0.151,0.358,0.203
"P05","Nada",0.033,0.02,0.089,0.347
"P05","No sabe",0.012,0,0.045,0.078
"P08","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.24,0.192,0.224,0.255
"P08","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por Unión por la Patria",0.188,0.139,0.231,0.049
"P08","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.298,0.282,0.223,0.07
"P08","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.066,0.137,0.095,0.059
"P08","Javier Milei a presidente, Carolina Piparo a gobernadora y Martín Urionagüena a intendente por la Libertad Avanza",0.121,0.074,0.137,0.289
"P08","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.078,0.011,0
"P08","En blanco",0.043,0.002,0.034,0.112
"P08","No sabe",0.02,0.096,0.045,0.166
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.351,0.265,0.339,0.239
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.355,0.384,0.264,0.2
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Martín Urionagüena a intendente por la Libertad Avanza",0.15,0.111,0.172,0.251
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.148,0.035,0.012
"P11","En blanco",0.069,0.02,0.073,0.135
"P11","No sabe",0.05,0.072,0.117,0.163
"P14","Si",0.672,0.502,0.266,0.199
"P14","No",0.328,0.498,0.734,0.801
