"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Mucho",0.327,0.363,0.292,0.299,0.324,0.389,0.301,0.277,0.296,0.465,0.371,0.368,0.266,0.366,0.441,0.347
"Bastante",0.301,0.326,0.278,0.226,0.326,0.322,0.358,0.288,0.32,0.284,0.288,0.299,0.315,0.365,0.291,0.219
"Poco",0.197,0.15,0.242,0.265,0.203,0.138,0.126,0.172,0.228,0.173,0.161,0.197,0.234,0.202,0.174,0.395
"Nada",0.135,0.13,0.139,0.151,0.118,0.124,0.164,0.216,0.114,0.053,0.146,0.057,0.156,0.048,0.086,0.039
"No sabe",0.04,0.031,0.049,0.059,0.029,0.027,0.051,0.047,0.042,0.025,0.034,0.079,0.029,0.019,0.008,0
