"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P06","Al candidato del Frente de Todos",0.365,0.231,0.334,0.33,0.465
"P06","Al candidato de Juntos por el Cambio",0.332,0.366,0.261,0.343,0.259
"P06","Al candidato de los liberales - libertarios",0.129,0.178,0.173,0.12,0.116
"P06","Al candidato de la Izquierda",0.051,0.018,0.02,0.057,0.048
"P06","A otro candidato",0.05,0.083,0.027,0.044,0.052
"P06","No sabe",0.073,0.124,0.185,0.106,0.06
"P07","A Malena Galmarini",0.347,0.535,0.278,0.438,0.343
"P07","A Julio Zamora",0.499,0.35,0.588,0.408,0.49
"P07","No sabe",0.154,0.115,0.134,0.154,0.167
"P08","Muy buena",0.156,0.141,0.191,0.128,0.191
"P08","Buena",0.145,0.077,0.12,0.119,0.158
"P08","Ni buena ni mala",0.227,0.195,0.218,0.199,0.242
"P08","Mala",0.133,0.216,0.175,0.194,0.106
"P08","Muy mala",0.275,0.253,0.171,0.288,0.211
"P08","No sabe",0.064,0.118,0.125,0.072,0.092
"P09","Muy buena",0.202,0.153,0.294,0.092,0.215
"P09","Buena",0.193,0.167,0.133,0.209,0.256
"P09","Ni buena ni mala",0.231,0.255,0.243,0.181,0.229
"P09","Mala",0.196,0.108,0.196,0.188,0.137
"P09","Muy mala",0.164,0.232,0.122,0.317,0.118
"P09","No sabe",0.014,0.085,0.012,0.013,0.045
"P10","Muy buena",0.151,0.189,0.178,0.188,0.069
"P10","Buena",0.191,0.213,0.182,0.112,0.206
"P10","Ni buena ni mala",0.304,0.25,0.262,0.313,0.309
"P10","Mala",0.13,0.105,0.083,0.16,0.181
"P10","Muy mala",0.163,0.14,0.058,0.174,0.149
"P10","No sabe",0.061,0.103,0.237,0.053,0.086
"P11","Muy buena",0.065,0.05,0.005,0.024,0.053
"P11","Buena",0.063,0.049,0.046,0.049,0.058
"P11","Ni buena ni mala",0.335,0.345,0.371,0.297,0.379
"P11","Mala",0.098,0.188,0.043,0.065,0.067
"P11","Muy mala",0.063,0.089,0.036,0.139,0.101
"P11","No sabe",0.376,0.279,0.499,0.426,0.342
"P12","Muy buena",0.053,0.114,0.019,0.053,0.049
"P12","Buena",0.111,0.132,0.073,0.102,0.099
"P12","Ni buena ni mala",0.377,0.286,0.347,0.292,0.365
"P12","Mala",0.109,0.12,0.037,0.147,0.065
"P12","Muy mala",0.13,0.152,0.073,0.146,0.138
"P12","No sabe",0.22,0.196,0.451,0.26,0.284
"P13","La seguridad",0.28,0.263,0.222,0.182,0.346
"P13","El tránsito",0.033,0.126,0.021,0.047,0.023
"P13","El arreglo de las calles",0.141,0.149,0.099,0.064,0.085
"P13","El estado de las escuelas y la educación",0.042,0.039,0.192,0.03,0.087
"P13","El sistema de salud",0.075,0.048,0.095,0.116,0.1
"P13","El deporte y la cultura",0.141,0.105,0.197,0.257,0.06
"P13","La obra pública",0.036,0.033,0.036,0.042,0.077
"P13","La luminaria",0.093,0.031,0.072,0.13,0.045
"P13","No sabe",0.159,0.206,0.066,0.132,0.177
"P14","La seguridad",0.25,0.302,0.109,0.161,0.143
"P14","El tránsito",0.078,0.236,0.032,0.111,0.093
"P14","El arreglo de las calles",0.127,0.109,0.348,0.14,0.092
"P14","El estado de las escuelas y la educación",0.212,0.164,0.134,0.251,0.251
"P14","El sistema de salud",0.098,0.13,0.115,0.182,0.192
"P14","El deporte y la cultura",0.03,0,0.012,0.032,0.041
"P14","La obra pública",0.056,0.013,0.042,0.016,0.006
"P14","La luminaria",0.038,0.003,0.032,0.031,0.014
"P14","No sabe",0.111,0.043,0.176,0.076,0.168
"P16","Los robos",0.422,0.281,0.165,0.282,0.204
"P16","El narcotráfico",0.243,0.281,0.364,0.24,0.245
"P16","La ausencia de patrulleros y personal policial",0.159,0.214,0.336,0.167,0.148
"P16","Otro",0.102,0.179,0.115,0.264,0.186
"P16","Ninguno",0.074,0.045,0.02,0.047,0.217
"P17","Frente de Todos y el peronismo",0.328,0.263,0.219,0.307,0.361
"P17","Cambiemos",0.292,0.328,0.226,0.32,0.226
"P17","Liberales Libertarios",0.185,0.275,0.419,0.148,0.16
"P17","Izquierda",0.052,0.022,0.028,0.035,0.056
"P17","No sabe",0.143,0.112,0.108,0.19,0.197
"P19","A Alberto Fernández",0.421,0.351,0.423,0.192,0.267
"P19","A Sergio Massa",0.166,0.22,0.244,0.336,0.381
"P19","A algún candidato del peronismo",0.229,0.223,0.185,0.171,0.079
"P19","A algún candidato del kirchnerismo",0.184,0.206,0.148,0.301,0.273
"P20","Seguro la votaria",0.604,0.47,0.844,0.608,0.519
"P20","Quizás la votaría",0.146,0.296,0.156,0.156,0.257
"P20","Nunca la votaría",0.25,0.234,0,0.236,0.224
"P21","A Horacio Rodriguez Larreta",0.458,0.446,0.153,0.192,0.556
"P21","A Mauricio Macri",0.265,0.332,0.225,0.383,0.189
"P21","A Patricia Bullrich",0.19,0.154,0.622,0.253,0.177
"P21","A Facundo Manes",0.081,0.057,0,0.135,0.02
