"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P06","Al candidato del Frente de Todos",0.337,0.442,0.273,0.352,0.396,0.397,0.201,0.153,0.436
"P06","Al candidato de Juntos por el Cambio",0.298,0.278,0.433,0.323,0.282,0.302,0.477,0.512,0.239
"P06","Al candidato de los liberales - libertarios",0.148,0.101,0.139,0.135,0.112,0.052,0.133,0.223,0.155
"P06","Al candidato de la Izquierda",0.047,0.008,0.004,0.089,0.05,0,0.117,0,0.041
"P06","A otro candidato",0.067,0.117,0.039,0.035,0.08,0.123,0.065,0.002,0.038
"P06","No sabe",0.103,0.054,0.112,0.066,0.08,0.126,0.007,0.11,0.091
"P07","A Malena Galmarini",0.393,0.56,0.328,0.191,0.426,0.543,0.372,0.518,0.237
"P07","A Julio Zamora",0.486,0.367,0.449,0.68,0.416,0.071,0.373,0.236,0.588
"P07","No sabe",0.121,0.073,0.223,0.129,0.158,0.386,0.255,0.246,0.175
"P08","Muy buena",0.227,0.134,0.198,0.118,0.137,0.078,0.107,0.107,0.125
"P08","Buena",0.096,0.194,0.075,0.108,0.172,0.194,0.181,0.095,0.181
"P08","Ni buena ni mala",0.246,0.182,0.215,0.21,0.197,0.239,0.285,0.212,0.265
"P08","Mala",0.128,0.205,0.093,0.203,0.194,0.121,0.073,0.055,0.121
"P08","Muy mala",0.215,0.225,0.387,0.264,0.243,0.19,0.354,0.301,0.206
"P08","No sabe",0.088,0.06,0.032,0.097,0.057,0.178,0,0.23,0.102
"P09","Muy buena",0.251,0.131,0.174,0.164,0.104,0.064,0.15,0.078,0.337
"P09","Buena",0.178,0.281,0.146,0.201,0.226,0.316,0.166,0.147,0.181
"P09","Ni buena ni mala",0.193,0.194,0.26,0.244,0.28,0.221,0.147,0.279,0.222
"P09","Mala",0.188,0.159,0.237,0.17,0.135,0.083,0.166,0.351,0.122
"P09","Muy mala",0.165,0.19,0.179,0.195,0.2,0.211,0.371,0.145,0.085
"P09","No sabe",0.025,0.045,0.004,0.026,0.055,0.105,0,0,0.053
"P10","Muy buena",0.179,0.177,0.158,0.124,0.104,0.082,0.17,0.272,0.088
"P10","Buena",0.204,0.186,0.219,0.186,0.15,0.15,0.189,0.2,0.168
"P10","Ni buena ni mala",0.317,0.276,0.236,0.343,0.317,0.157,0.292,0.263,0.309
"P10","Mala",0.109,0.181,0.15,0.103,0.168,0.308,0.102,0.037,0.177
"P10","Muy mala",0.135,0.147,0.142,0.162,0.154,0.154,0.24,0.041,0.186
"P10","No sabe",0.056,0.033,0.095,0.082,0.107,0.149,0.007,0.187,0.072
"P11","Muy buena",0.127,0.005,0.06,0.026,0.052,0.026,0,0,0.021
"P11","Buena",0.076,0.058,0.035,0.031,0.092,0.085,0,0.027,0.091
"P11","Ni buena ni mala",0.277,0.394,0.4,0.355,0.336,0.408,0.264,0.448,0.333
"P11","Mala",0.097,0.165,0.087,0.08,0.097,0.06,0.075,0.052,0.085
"P11","Muy mala",0.122,0.105,0.103,0.092,0.038,0,0.166,0.031,0.06
"P11","No sabe",0.301,0.273,0.315,0.416,0.385,0.421,0.495,0.442,0.41
"P12","Muy buena",0.116,0.039,0.072,0.04,0.042,0.114,0.046,0.023,0.012
"P12","Buena",0.098,0.052,0.176,0.081,0.134,0.231,0.161,0.036,0.072
"P12","Ni buena ni mala",0.306,0.362,0.383,0.372,0.341,0.211,0.317,0.422,0.386
"P12","Mala",0.058,0.268,0.063,0.102,0.097,0.019,0.126,0.138,0.12
"P12","Muy mala",0.179,0.123,0.111,0.128,0.097,0.031,0.223,0.048,0.163
"P12","No sabe",0.243,0.156,0.195,0.277,0.289,0.394,0.127,0.333,0.247
"P13","La seguridad",0.314,0.254,0.372,0.265,0.208,0.216,0.323,0.094,0.231
"P13","El tránsito",0.033,0.048,0.01,0.087,0.046,0,0.01,0,0.05
"P13","El arreglo de las calles",0.206,0.117,0.114,0.153,0.068,0.083,0,0.009,0.019
"P13","El estado de las escuelas y la educación",0.037,0.09,0.057,0.04,0.13,0.112,0.024,0.031,0.044
"P13","El sistema de salud",0.067,0.106,0.112,0.066,0.067,0.019,0.115,0.023,0.123
"P13","El deporte y la cultura",0.084,0.13,0.106,0.15,0.199,0.455,0.126,0.247,0.062
"P13","La obra pública",0.031,0.084,0.024,0.051,0.057,0.01,0.081,0,0.047
"P13","La luminaria",0.045,0.064,0.094,0.088,0.054,0.078,0.149,0.55,0.015
"P13","No sabe",0.183,0.107,0.111,0.1,0.171,0.027,0.172,0.046,0.409
"P15","Agua corriente y cloacas",0.565,0.368,0.482,0.487,0.365,0.534,0.798,0.687,0.487
"P15","Energía eléctrica",0.189,0.308,0.115,0.104,0.134,0,0.05,0.017,0.052
"P15","Red de gas natural",0.025,0.015,0.131,0.031,0.042,0.021,0.06,0.056,0.077
"P15","Recolección de residuos",0.089,0.129,0.13,0.142,0.167,0.143,0.056,0.137,0.082
"P15","Ninguno",0.132,0.18,0.142,0.236,0.292,0.302,0.036,0.103,0.302
"P16","Los robos",0.523,0.323,0.229,0.3,0.211,0.374,0.25,0.291,0.294
"P16","El narcotráfico",0.155,0.262,0.291,0.281,0.303,0.11,0.53,0.281,0.234
"P16","La ausencia de patrulleros y personal policial",0.14,0.219,0.246,0.193,0.228,0.097,0.002,0.047,0.121
"P16","Otro",0.098,0.122,0.155,0.148,0.154,0.344,0.183,0.135,0.211
"P16","Ninguno",0.084,0.074,0.079,0.078,0.104,0.075,0.035,0.246,0.14
"P17","Frente de Todos y el peronismo",0.284,0.449,0.26,0.34,0.34,0.214,0.252,0.151,0.35
"P17","Cambiemos",0.265,0.324,0.365,0.282,0.273,0.143,0.357,0.35,0.204
"P17","Liberales Libertarios",0.189,0.156,0.241,0.181,0.195,0.229,0.229,0.288,0.212
"P17","Izquierda",0.066,0.008,0.007,0.063,0.068,0.029,0.032,0,0.043
"P17","No sabe",0.196,0.063,0.127,0.134,0.124,0.385,0.13,0.211,0.191
"P19","A Alberto Fernández",0.431,0.227,0.66,0.409,0.104,0.533,0,0.601,0.199
"P19","A Sergio Massa",0.209,0.334,0.162,0.063,0.32,0,0.813,0,0.551
"P19","A algún candidato del peronismo",0.199,0.112,0,0.348,0.202,0.141,0.054,0.312,0.131
"P19","A algún candidato del kirchnerismo",0.161,0.327,0.178,0.18,0.374,0.326,0.133,0.087,0.119
"P20","Seguro la votaria",0.507,0.778,0.644,0.55,0.51,0.932,0.866,0.661,0.53
"P20","Quizás la votaría",0.298,0.151,0.066,0.199,0.093,0.068,0.134,0.211,0.272
"P20","Nunca la votaría",0.195,0.071,0.29,0.251,0.397,0,0,0.128,0.198
"P21","A Horacio Rodriguez Larreta",0.642,0.219,0.312,0.395,0.317,1,0.141,0.578,0.576
"P21","A Mauricio Macri",0.217,0.128,0.261,0.32,0.549,0,0.398,0.115,0.215
"P21","A Patricia Bullrich",0.115,0.373,0.272,0.188,0.107,0,0.428,0.307,0.161
"P21","A Facundo Manes",0.026,0.144,0.152,0.074,0.027,0,0.033,0,0.017
"P21","A Martín Lousteau",0,0.136,0.003,0.023,0,0,0,0,0.031
"P22","Seguro lo votaria",0.54,0.073,0.258,0.181,0.148,0.457,0.019,0.082,0.07
"P22","Quizás lo votaría",0.135,0.249,0.317,0.341,0.241,0.375,0.344,0.083,0.526
"P22","Nunca lo votaría",0.325,0.678,0.425,0.478,0.611,0.168,0.637,0.835,0.404
"P23","Muy buena",0.197,0.055,0.108,0.125,0.118,0.134,0.163,0.077,0.182
"P23","Buena",0.072,0.218,0.138,0.194,0.139,0.103,0.067,0.086,0.151
"P23","Ni buena ni mala",0.245,0.27,0.131,0.153,0.216,0.31,0.185,0.138,0.154
"P23","Mala",0.198,0.087,0.106,0.153,0.144,0.093,0.088,0.018,0.104
"P23","Muy mala",0.272,0.359,0.503,0.36,0.375,0.276,0.497,0.681,0.398
"P23","No sabe",0.016,0.011,0.014,0.015,0.008,0.084,0,0,0.011
"P24","Muy buena",0.152,0.093,0.143,0.103,0.1,0.056,0.29,0.202,0.119
"P24","Buena",0.092,0.149,0.237,0.135,0.181,0.077,0.088,0.072,0.216
"P24","Ni buena ni mala",0.186,0.142,0.171,0.169,0.16,0.345,0.235,0.21,0.096
"P24","Mala",0.25,0.239,0.205,0.238,0.153,0.277,0.051,0.096,0.191
"P24","Muy mala",0.317,0.374,0.238,0.355,0.397,0.245,0.336,0.42,0.356
"P24","No sabe",0.003,0.003,0.006,0,0.009,0,0,0,0.022
"P25","Muy buena",0.246,0.29,0.138,0.214,0.243,0.247,0.105,0.155,0.219
"P25","Buena",0.1,0.125,0.073,0.093,0.036,0.234,0.167,0.048,0.098
"P25","Ni buena ni mala",0.114,0.049,0.08,0.115,0.088,0.083,0.073,0.299,0.121
"P25","Mala",0.155,0.088,0.175,0.024,0.127,0.174,0.037,0.015,0.114
"P25","Muy mala",0.355,0.443,0.534,0.554,0.495,0.253,0.618,0.483,0.426
"P25","No sabe",0.03,0.005,0,0,0.011,0.009,0,0,0.022
"P26","Muy buena",0.238,0.136,0.153,0.139,0.184,0.122,0.171,0.189,0.15
"P26","Buena",0.136,0.145,0.379,0.236,0.241,0.231,0.14,0.141,0.158
