"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur"
"A Horacio Rodriguez Larreta",0.432,0.317,0.522,0.285,0.585,0.388,0.322,0.582,0.328,0.413,0.304,0.473,0.566
"A Mauricio Macri",0.273,0.334,0.224,0.48,0.22,0.257,0.16,0.241,0.36,0.188,0.294,0.286,0.24
"A Patricia Bullrich",0.205,0.226,0.19,0.186,0.145,0.191,0.396,0.134,0.183,0.313,0.23,0.227,0.164
"A Facundo Manes",0.071,0.116,0.035,0,0.042,0.143,0.117,0.033,0.127,0.033,0.136,0.011,0.023
"A Martín Lousteau",0.019,0.007,0.029,0.049,0.008,0.021,0.005,0.01,0.002,0.053,0.036,0.003,0.007
