"var","categoria","Al Frente de todos","A Juntos","Al Frente de Izquierda","Al Partido Avanza libertad","A “Vamos con vos""","Votaría en blanco o anularía"
"P08","Si",0.797,0.914,0.951,0.788,0.972,0.429
"P08","Puede ser",0.174,0.035,0,0.092,0.028,0.334
"P08","No",0.029,0.051,0.049,0.12,0,0.237
"P34","Gran excedente habitual",0.002,0.003,0,0,0,0
"P34","Gran excedente excepcional",0,0.004,0,0,0,0
"P34","Pequeño excedente habitual",0.04,0.084,0,0.014,0,0
"P34","Pequeño excedente excepcional",0.038,0.054,0.576,0.043,0,0
"P34","Alcanza gastos familia",0.114,0.152,0.015,0.147,0.024,0.088
"P34","No alcanza gastos familia",0.206,0.11,0.299,0.28,0.028,0.201
"P34","Solo NBFamiliares",0.225,0.216,0.055,0.375,0.618,0.282
"P34","No alcanza NBFamiliares",0.347,0.368,0.055,0.141,0.33,0.324
"P34","No sabe",0.028,0.009,0,0,0,0.105
"P35","Muy buena",0.006,0.049,0,0.072,0,0
"P35","Buena",0.206,0.161,0,0.068,0,0.011
"P35","Ni buena ni mala",0.317,0.382,0.685,0.454,0.298,0.593
"P35","Mala",0.3,0.292,0.294,0.217,0.702,0.226
"P35","Muy mala",0.169,0.107,0.021,0.189,0,0.158
"P35","No sabe",0.002,0.009,0,0,0,0.012
"P36","Mejor",0.133,0.034,0.602,0.027,0,0.133
"P36","Igual",0.379,0.235,0.049,0.433,0.327,0.217
"P36","Peor",0.432,0.688,0.349,0.54,0.673,0.529
"P36","No sabe",0.056,0.043,0,0,0,0.121
"P37","Mejor",0.197,0.031,0.045,0.074,0,0.006
"P37","Igual",0.302,0.21,0.592,0.155,0.659,0.275
"P37","Peor",0.377,0.648,0.363,0.611,0.341,0.476
"P37","No sabe",0.124,0.111,0,0.16,0,0.243
"P46","Muy buena",0.26,0.036,0,0,0,0.057
"P46","Buena",0.35,0.048,0,0,0.096,0.067
"P46","Ni buena ni mala",0.21,0.095,0.021,0.169,0.436,0.682
"P46","Mala",0.035,0.099,0.373,0.34,0.032,0.063
"P46","Muy mala",0.114,0.722,0.606,0.491,0.032,0.131
"P46","No sabe",0.031,0,0,0,0.404,0
"P47","Muy buena",0.504,0.055,0.031,0.007,0,0.104
"P47","Buena",0.295,0.005,0,0,0.417,0.025
"P47","Ni buena ni mala",0.094,0.022,0,0.085,0,0.323
"P47","Mala",0.027,0.04,0,0.059,0.526,0.159
"P47","Muy mala",0.08,0.878,0.402,0.849,0.057,0.281
"P47","No sabe",0,0,0.567,0,0,0.108
"P48","Muy buena",0.071,0.296,0,0,0,0.07
"P48","Buena",0.091,0.235,0,0.076,0,0.007
"P48","Ni buena ni mala",0.139,0.213,0.032,0.279,0.404,0.588
"P48","Mala",0.208,0.044,0.554,0.278,0.466,0.157
"P48","Muy mala",0.487,0.205,0.414,0.367,0.13,0.158
"P48","No sabe",0.004,0.007,0,0,0,0.02
"P49","Muy buena",0.01,0.411,0,0.129,0.397,0.223
"P49","Buena",0.11,0.274,0.012,0.016,0.431,0.289
"P49","Ni buena ni mala",0.267,0.16,0.518,0.319,0.138,0.328
"P49","Mala",0.143,0.08,0,0.072,0.034,0.027
"P49","Muy mala",0.316,0.066,0.443,0.236,0,0.113
"P49","No sabe",0.154,0.009,0.027,0.228,0,0.02
"P50","Muy buena",0.127,0.014,0,0,0,0.051
"P50","Buena",0.244,0.039,0,0,0.403,0.095
"P50","Ni buena ni mala",0.371,0.087,0.02,0.018,0.132,0.411
"P50","Mala",0.03,0.129,0.58,0.484,0.434,0.157
"P50","Muy mala",0.088,0.731,0.4,0.498,0.031,0.266
"P50","No sabe",0.14,0,0,0,0,0.02
"P59","Muy buena",0.016,0.188,0,0.017,0.405,0.106
"P59","Buena",0.116,0.254,0,0.288,0.031,0.33
"P59","Ni buena ni mala",0.282,0.358,0.571,0.308,0.564,0.244
"P59","Mala",0.171,0.062,0,0.058,0,0.074
"P59","Muy mala",0.21,0.125,0.407,0.227,0,0.139
"P59","No sabe",0.205,0.013,0.022,0.102,0,0.107
"P61","Muy buena",0,0.107,0,0.01,0,0.138
"P61","Buena",0.1,0.199,0,0.034,0,0
"P61","Ni buena ni mala",0.283,0.253,0.01,0.372,0.5,0.434
"P61","Mala",0.063,0.065,0,0.1,0,0.115
"P61","Muy mala",0.132,0.168,0.4,0.225,0.03,0.164
"P61","No sabe",0.422,0.208,0.59,0.259,0.47,0.149
