"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Al Frente de todos",0.382,0.375,0.389,0.388,0.393,0.366,0.367,0.421,0.385,0.318,0.693,0.143,0.174
"A Juntos",0.358,0.336,0.378,0.223,0.365,0.446,0.449,0.323,0.321,0.477,0.173,0.712,0.358
"Al Frente de Izquierda",0.043,0.047,0.04,0.059,0.048,0.036,0.015,0.038,0.045,0.048,0.023,0.005,0.133
"Al Partido Avanza libertad",0.078,0.104,0.053,0.172,0.05,0.039,0.038,0.067,0.097,0.058,0.017,0.1,0.2
"A “Vamos con vos""",0.024,0.023,0.024,0.027,0.026,0.01,0.032,0.034,0.018,0.019,0.008,0.001,0.103
"Votaría en blanco o anularía",0.115,0.115,0.116,0.131,0.118,0.103,0.099,0.117,0.134,0.08,0.086,0.039,0.032
