"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure","opciones"
"Muy buena",0.312,0.405,0.207,0.371,0.324,0.091,0.319,0.506,0.211,0.131,0.359,0.499,0.149,0,0,0.136,6
"Buena",0.08,0.101,0.057,0.077,0.087,0.074,0.044,0.065,0.103,0.037,0.077,0.059,0.108,0,0,0,6
"Ni buena ni mala",0.246,0.125,0.382,0.274,0.22,0.303,0.063,0.145,0.322,0.25,0.305,0.226,0.099,0,0.608,0.283,6
"Mala",0.12,0.123,0.117,0,0.162,0.32,0.129,0.081,0.143,0.147,0.084,0.09,0.278,0.569,0.392,0.306,6
"Muy mala",0.114,0.104,0.126,0.169,0.059,0.149,0.13,0.053,0.127,0.246,0.051,0.102,0.267,0,0,0.275,6
"No sabe",0.128,0.142,0.111,0.109,0.148,0.063,0.315,0.15,0.094,0.189,0.124,0.024,0.099,0.431,0,0,6
"Positiva",0.392,0.506,0.264,0.448,0.411,0.165,0.363,0.571,0.314,0.168,0.436,0.558,0.257,0,0,0.136,4
"Neutra",0.246,0.125,0.382,0.274,0.22,0.303,0.063,0.145,0.322,0.25,0.305,0.226,0.099,0,0.608,0.283,4
"Negativa",0.234,0.227,0.243,0.169,0.221,0.469,0.259,0.134,0.27,0.393,0.135,0.192,0.545,0.569,0.392,0.581,4
"No sabe",0.128,0.142,0.111,0.109,0.148,0.063,0.315,0.15,0.094,0.189,0.124,0.024,0.099,0.431,0,0,4
