"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi"
"Rolo Figueroa","Positiva",0.397,0.404,0.391,0.361,0.416,0.453,0.341,0.457,0.408,0.183,0.686,0.527,0.089,0
"Rolo Figueroa","Neutra",0.322,0.337,0.305,0.254,0.365,0.406,0.176,0.273,0.351,0.353,0.252,0.26,0.439,0.647
"Rolo Figueroa","Negativa",0.132,0.129,0.134,0.179,0.106,0.087,0.122,0.084,0.155,0.179,0,0.101,0.304,0
"Rolo Figueroa","No sabe",0.149,0.13,0.17,0.206,0.113,0.054,0.361,0.186,0.086,0.285,0.062,0.112,0.168,0.353
"Guillermo Pereyra","Positiva",0.383,0.452,0.305,0.381,0.434,0.222,0.301,0.517,0.339,0.157,0.473,0.64,0.199,0
"Guillermo Pereyra","Neutra",0.264,0.192,0.346,0.295,0.224,0.365,0.086,0.169,0.347,0.228,0.284,0.209,0.144,0.443
"Guillermo Pereyra","Negativa",0.213,0.236,0.187,0.17,0.221,0.288,0.301,0.154,0.193,0.461,0.126,0.127,0.558,0.557
"Guillermo Pereyra","No sabe",0.14,0.12,0.162,0.154,0.121,0.125,0.312,0.16,0.121,0.154,0.117,0.024,0.099,0
"Marcelo Rucci","Positiva",0.392,0.506,0.264,0.448,0.411,0.165,0.363,0.571,0.314,0.168,0.436,0.558,0.257,0
"Marcelo Rucci","Neutra",0.246,0.125,0.382,0.274,0.22,0.303,0.063,0.145,0.322,0.25,0.305,0.226,0.099,0
"Marcelo Rucci","Negativa",0.234,0.227,0.243,0.169,0.221,0.469,0.259,0.134,0.27,0.393,0.135,0.192,0.545,0.569
"Marcelo Rucci","No sabe",0.128,0.142,0.111,0.109,0.148,0.063,0.315,0.15,0.094,0.189,0.124,0.024,0.099,0.431
