"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure"
"Si",0.241,0.228,0.256,0.131,0.304,0.334,0.259,0.274,0.254,0.097,0.277,0.531,0.127,0,0,0
"No",0.759,0.772,0.744,0.869,0.696,0.666,0.741,0.726,0.746,0.903,0.723,0.469,0.873,1,1,1
