"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure"
"Norma Sepulveda por el MPN",0.656,0.676,0.634,0.674,0.699,0.435,0.713,0.654,0.662,0.639,0.583,0.697,0.338,0.657,1,0.926
"Walter Erdozain por el Frente Provincial",0.344,0.324,0.366,0.326,0.301,0.565,0.287,0.346,0.338,0.361,0.417,0.303,0.662,0.343,0,0.074
