"var","categoria","Norma Sepulveda por el MPN","Walter Erdozain por el Frente Provincial"
"P05","Mucho",0.188,0.376
"P05","Bastante",0.249,0.273
"P05","Poco",0.176,0.082
"P05","Nada",0.292,0.218
"P05","No sabe",0.095,0.051
"P08","Lo votaría",0.394,0.134
"P08","Puede que lo vote",0.146,0.151
"P08","Nunca lo votaría",0.236,0.54
"P08","No sabe",0.224,0.175
"P09","Lo votaría",0.052,0.524
"P09","Puede que lo vote",0.263,0.078
"P09","Nunca lo votaría",0.392,0.16
"P09","No sabe",0.293,0.238
"P10","Muy buena",0.176,0.37
"P10","Buena",0.133,0.202
"P10","Ni buena ni mala",0.385,0.198
"P10","Mala",0.072,0.07
"P10","Muy mala",0.069,0.042
"P10","No sabe",0.165,0.118
"P11","Muy buena",0.321,0.294
"P11","Buena",0.111,0.02
"P11","Ni buena ni mala",0.255,0.228
"P11","Mala",0.088,0.183
"P11","Muy mala",0.067,0.207
"P11","No sabe",0.158,0.068
"P12","Muy buena",0.241,0.138
"P12","Buena",0.194,0.143
"P12","Ni buena ni mala",0.274,0.247
"P12","Mala",0.055,0.116
"P12","Muy mala",0.094,0.221
"P12","No sabe",0.142,0.135
"P13","Si",0.205,0.308
"P13","No",0.795,0.692
