"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Cervi","Eguìa","Jure"
"Mucho",0.243,0.251,0.234,0.226,0.243,0.306,0.195,0.18,0.272,0.316,0.28,0.184,0.298,0.331,0.409,0.416
"Bastante",0.249,0.282,0.213,0.217,0.325,0.113,0.086,0.133,0.378,0.099,0.195,0.461,0.19,0,0.266,0
"Poco",0.151,0.17,0.129,0.155,0.14,0.171,0.166,0.199,0.113,0.155,0.133,0.162,0.154,0.206,0.01,0.059
"Nada",0.277,0.172,0.395,0.308,0.219,0.353,0.441,0.359,0.204,0.316,0.282,0.152,0.244,0.463,0.315,0.525
"No sabe",0.08,0.125,0.029,0.094,0.073,0.057,0.112,0.129,0.033,0.114,0.11,0.041,0.114,0,0,0
