"var","categoria","Andres Peressini por Iguales","Sergio Soto por MPN","Luis Bertolini por Desarrollo Ciudadano","Karina Ortiz por Unión por Plotier","Norberto Calducci por el Frente de Izquierda","Hector Agostino por el Partido Autonomista"
"P10","Lo votaría",0.165,0.6,0.068,0.138,0.021,0.581
"P10","Puede que lo vote",0.125,0.189,0.088,0.114,0.123,0.143
"P10","Nunca lo votaría",0.515,0.14,0.598,0.521,0.671,0.276
"P10","No sabe",0.195,0.071,0.246,0.227,0.185,0
"P11","Lo votaría",0.075,0.364,0.398,0.233,0.047,0.604
"P11","Puede que lo vote",0.212,0.093,0.091,0.155,0.089,0.241
"P11","Nunca lo votaría",0.501,0.392,0.262,0.173,0.653,0
"P11","No sabe",0.212,0.151,0.249,0.439,0.211,0.155
"P12","Lo votaría",0.591,0.325,0.102,0.145,0.023,0.593
"P12","Puede que lo vote",0.068,0.184,0.092,0.386,0.176,0.321
"P12","Nunca lo votaría",0.212,0.369,0.726,0.275,0.672,0.086
"P12","No sabe",0.129,0.122,0.08,0.194,0.129,0
"P13","Lo votaría",0.048,0.434,0.077,0.219,0.168,0.756
"P13","Puede que lo vote",0.153,0.068,0.137,0.379,0.063,0.244
"P13","Nunca lo votaría",0.551,0.387,0.612,0.133,0.655,0
"P13","No sabe",0.248,0.111,0.174,0.269,0.114,0
"P14","Lo votaría",0.038,0.327,0.05,0.182,0.425,0.616
"P14","Puede que lo vote",0.101,0.186,0.094,0.081,0,0.384
"P14","Nunca lo votaría",0.582,0.367,0.597,0.294,0.404,0
"P14","No sabe",0.279,0.12,0.259,0.443,0.171,0
"P15","Lo votaría",0.043,0.438,0.038,0.149,0.056,0.613
"P15","Puede que lo vote",0.162,0.03,0.09,0.087,0.34,0.307
"P15","Nunca lo votaría",0.522,0.379,0.572,0.266,0.485,0.08
"P15","No sabe",0.273,0.153,0.3,0.498,0.119,0
"P16","Si",0.368,0.336,0.23,0.336,0.153,0.295
"P16","No",0.632,0.664,0.77,0.664,0.847,0.705
