"var","categoria","Andres Peressini por Iguales","Sergio Soto por MPN","Luis Bertolini por Desarrollo Ciudadano","Karina Ortiz por Unión por Plotier","Norberto Calducci por el Frente de Izquierda","Hector Agostino por el Partido Autonomista","No sabe"
"P10","Lo votaría",0.118,0.673,0.112,0.254,0.026,0.581,0.071
"P10","Puede que lo vote",0.157,0.217,0.125,0.197,0.152,0.143,0.031
"P10","Nunca lo votaría",0.562,0.078,0.658,0.515,0.764,0.276,0.482
"P10","No sabe",0.163,0.032,0.105,0.034,0.058,0,0.416
"P11","Lo votaría",0.077,0.403,0.636,0.415,0.027,0.604,0.047
"P11","Puede que lo vote",0.256,0.089,0.15,0.128,0.105,0.241,0.091
"P11","Nunca lo votaría",0.549,0.419,0.124,0.269,0.771,0,0.309
"P11","No sabe",0.118,0.089,0.09,0.188,0.097,0.155,0.553
"P12","Lo votaría",0.895,0.358,0.162,0.262,0.027,0.593,0.007
"P12","Puede que lo vote",0.028,0.214,0.114,0.393,0.181,0.321,0.171
"P12","Nunca lo votaría",0.06,0.38,0.712,0.218,0.745,0.086,0.522
"P12","No sabe",0.017,0.048,0.012,0.127,0.047,0,0.3
"P13","Lo votaría",0.069,0.476,0.098,0.396,0.198,0.756,0.023
"P13","Puede que lo vote",0.174,0.041,0.127,0.433,0.074,0.244,0.186
"P13","Nunca lo votaría",0.586,0.412,0.676,0.144,0.681,0,0.368
"P13","No sabe",0.171,0.071,0.099,0.027,0.047,0,0.423
"P14","Lo votaría",0.054,0.353,0.056,0.33,0.497,0.616,0.019
"P14","Puede que lo vote",0.098,0.212,0.122,0.081,0,0.384,0.065
"P14","Nunca lo votaría",0.671,0.356,0.733,0.285,0.429,0,0.326
"P14","No sabe",0.177,0.079,0.089,0.304,0.074,0,0.59
"P15","Lo votaría",0.044,0.479,0.056,0.272,0.065,0.613,0.018
"P15","Puede que lo vote",0.185,0.034,0.107,0.071,0.372,0.307,0.088
"P15","Nunca lo votaría",0.591,0.404,0.699,0.447,0.489,0.08,0.231
"P15","No sabe",0.18,0.083,0.138,0.21,0.074,0,0.663
"P16","Si",0.316,0.287,0.273,0.391,0.119,0.295,0.317
"P16","No",0.684,0.713,0.727,0.609,0.881,0.705,0.683
