"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmann","Rioseco","Cervi","Eguía","Jure"
"Andres Peressini por Iguales",0.24,0.224,0.256,0.147,0.257,0.36,0.264,0.172,0.315,0.194,0.167,0.331,0.509,0.191,0.252,0.193
"Sergio Soto por MPN",0.135,0.173,0.096,0.156,0.093,0.158,0.201,0.186,0.117,0.096,0.134,0.307,0.014,0.056,0.046,0
"Luis Bertolini por Desarrollo Ciudadano",0.289,0.262,0.317,0.252,0.338,0.236,0.312,0.223,0.297,0.368,0.376,0.201,0.123,0.257,0.269,0.043
"Karina Ortiz por Unión por Plotier",0.203,0.234,0.172,0.318,0.158,0.126,0.139,0.194,0.215,0.192,0.242,0.071,0.198,0,0.402,0.097
"Norberto Calducci por el Frente de Izquierda",0.09,0.085,0.095,0.05,0.118,0.102,0.084,0.119,0.044,0.136,0.073,0.043,0.156,0.183,0.031,0.348
"Hector Agostino por el Partido Autonomista",0.043,0.022,0.064,0.077,0.036,0.018,0,0.106,0.012,0.014,0.008,0.047,0,0.313,0,0.319
