"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.919,0.781,0.7,0.702,0.863,0.855,0.727,0.457
"Puede ser",0.038,0.169,0.178,0.249,0.102,0.031,0.143,0.259
"No",0.043,0.05,0.122,0.049,0.035,0.114,0.13,0.284
