"var","categoria","Inflación","Desempleo","Corrupción","Precio del dólar","Inseguridad","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P09","Toloza Paz",0.322,0.299,0.104,0.331,0.379,0.388,0.663,0.797,0.521,0.371
"P09","Diego Santilli",0.336,0.185,0.476,0.071,0.312,0.289,0,0.075,0.155,0.061
"P09","Facundo Manes",0.18,0.174,0.19,0.144,0.061,0.111,0.144,0,0.144,0
"P09","Florencio Randazzo",0.01,0.091,0.021,0.245,0.076,0.026,0,0,0,0
"P09","A la izquierda",0.003,0.033,0.023,0,0.005,0.004,0,0,0.016,0
"P09","Jose Luis Espert",0.064,0,0.106,0.02,0.007,0.037,0.136,0.128,0.032,0
"P09","Otros candidatos",0.022,0.106,0.05,0.081,0.091,0.076,0.057,0,0.095,0.114
"P09","Votaría en blanco o anularía",0.063,0.112,0.03,0.108,0.069,0.069,0,0,0.037,0.454
