"","Si","Puede ser","No"
"Toloza Paz",0.355,0.111,0.14
"Diego Santilli",0.26,0.351,0.145
"Facundo Manes",0.123,0.164,0.247
"Florencio Randazzo",0.038,0.087,0.051
"A la izquierda",0.028,0.017,0.017
"Jose Luis Espert",0.081,0.012,0.039
"Otros candidatos",0.067,0.128,0.111
"Votaría en blanco o anularía",0.048,0.13,0.25
