"var","categoria","Totalmente de acuerdo","Bastante de acuerdo","Poco de acuerdo","Nada de acuerdo","No sabe"
"P09","Toloza Paz",0.733,0.432,0.033,0.087,0.125
"P09","Diego Santilli",0.031,0.134,0.381,0.56,0.389
"P09","Facundo Manes",0.011,0.156,0.203,0.164,0.261
"P09","Florencio Randazzo",0.048,0,0,0.015,0.035
"P09","A la izquierda",0.009,0.003,0.083,0.003,0
"P09","Jose Luis Espert",0,0.007,0.068,0.118,0.045
"P09","Otros candidatos",0.068,0.039,0.06,0.031,0.096
"P09","Votaría en blanco o anularía",0.1,0.229,0.172,0.022,0.049
