"var","categoria","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","A Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.548,0.564,0.41,0.356,0.382,0.474,0.184,0.231
"P05","Bastante",0.241,0.278,0.395,0.274,0.29,0.193,0.29,0.282
"P05","Poco",0.136,0.083,0.14,0.303,0.208,0.244,0.237,0.225
"P05","Nada",0.055,0.068,0.045,0.06,0.118,0.055,0.264,0.214
"P05","No sabe",0.02,0.007,0.01,0.007,0.002,0.034,0.025,0.048
"P06","Siempre",0.284,0.177,0.265,0.196,0.248,0.21,0.265,0.121
"P06","Casi siempre",0.392,0.481,0.449,0.394,0.276,0.334,0.152,0.343
"P06","Casi nunca",0.185,0.251,0.226,0.292,0.304,0.382,0.301,0.274
"P06","Nunca, pero esta es una excepción",0.139,0.091,0.06,0.118,0.172,0.074,0.282,0.262
"P08","Unión por la Patria y el peronismo",0.727,0.509,0.104,0.093,0.029,0.346,0.066,0.237
"P08","Juntos por el Cambio",0.147,0.271,0.773,0.699,0.04,0.021,0.062,0.041
"P08","De los Liberales libertarios",0.021,0.057,0.062,0.063,0.701,0.047,0.067,0.042
"P08","De la Izquierda",0.022,0.066,0.01,0.03,0.043,0.478,0.034,0.037
"P08","No sabe",0.083,0.097,0.051,0.115,0.187,0.108,0.771,0.643
"P09","A Sergio Massa",0.321,0.155,0.381,0.26,0.204,0.437,0.047,0.31
"P09","A Daniel Scioli",0.059,0.04,0.087,0.022,0.478,0.132,0,0.061
"P09","A algún candidato del peronismo",0.155,0.219,0.317,0.465,0.043,0.038,0.469,0.157
"P09","Wado de Pedro",0.465,0.586,0.215,0.253,0.275,0.393,0.484,0.472
"P10","A Horacio Rodriguez Larreta",0.164,0.146,0.055,0.559,0.037,0,0,0.102
"P10","A Patricia Bullrich",0.587,0.438,0.876,0.276,0.747,1,0.728,0.62
"P10","A Facundo Manes",0.201,0.031,0.034,0.076,0.093,0,0.272,0.149
"P10","A Gerardo Morales",0.048,0.385,0.035,0.089,0.123,0,0,0.129
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.64,0.178,0.078,0.062,0.049,0.111,0.059,0.114
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.077,0.428,0.049,0.018,0.005,0,0.009,0.023
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.133,0.022,0.789,0.161,0.031,0.055,0.103,0.036
