"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.591,0.411,0.373,0.559,0.407,0.374
"P05","Bastante",0.289,0.334,0.35,0.27,0.269,0.373
"P05","Poco",0.086,0.212,0.196,0.059,0.114,0.141
"P05","Nada",0.017,0.036,0.076,0.112,0.181,0.112
"P05","No sabe",0.017,0.007,0.005,0,0.029,0
"P06","Siempre",0.288,0.255,0.346,0.157,0.372,0.266
"P06","Casi siempre",0.476,0.399,0.262,0.302,0.284,0.454
"P06","Casi nunca",0.153,0.212,0.243,0.36,0.179,0.18
"P06","Nunca, pero esta es una excepción",0.083,0.134,0.149,0.181,0.165,0.1
"P08","Unión por la Patria y el peronismo",0.849,0.09,0.046,0.287,0.094,0.125
"P08","Juntos por el Cambio",0.069,0.795,0.206,0.126,0.268,0.42
"P08","De los Liberales libertarios",0.012,0.051,0.622,0,0.324,0.087
"P08","De la Izquierda",0.023,0.01,0.029,0.394,0,0
"P08","No sabe",0.047,0.054,0.097,0.193,0.314,0.368
"P09","A Sergio Massa",0.317,0.16,0.115,0.717,0.474,0.688
"P09","A Daniel Scioli",0.037,0.538,0.347,0,0,0.025
"P09","A algún candidato del peronismo",0.075,0.287,0.538,0.12,0.404,0.25
"P09","Wado de Pedro",0.571,0.015,0,0.163,0.122,0.037
"P10","A Horacio Rodriguez Larreta",0.152,0.179,0.005,0.204,0.051,0.007
"P10","A Patricia Bullrich",0.125,0.72,0.935,0.796,0.902,0.966
"P10","A Facundo Manes",0.665,0.035,0,0,0,0
"P10","A Gerardo Morales",0.058,0.066,0.06,0,0.047,0.027
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.655,0.052,0.074,0.183,0.076,0.143
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.126,0.034,0,0.035,0.021,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.029,0.644,0.222,0.061,0.271,0.304
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.062,0.221,0.01,0.079,0.064,0.05
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.013,0.658,0,0.334,0.114
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.006,0.004,0.311,0,0
"P11","En blanco",0.008,0.007,0,0.159,0.17,0.06
"P11","No sabe",0.086,0.023,0.032,0.172,0.064,0.329
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.707,0.122,0.092,0.104,0.079,0.112
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.097,0.029,0.007,0.084,0.036,0.005
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.054,0.567,0.169,0.062,0.278,0.334
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.024,0.24,0.026,0.041,0.02,0.018
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.028,0.665,0,0.294,0.107
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0,0.009,0.374,0,0.041
"P13","En blanco",0.001,0.003,0.015,0.223,0.217,0.013
"P13","No sabe",0.1,0.011,0.017,0.112,0.076,0.37
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.791,0.075,0.039,0.123,0.041,0.085
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.08,0.049,0.027,0.084,0.092,0.02
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.08,0.628,0.208,0.096,0.273,0.369
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.02,0.208,0.025,0.041,0.048,0.009
