"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.432,0.4,0.514,0.535
"P05","Bastante",0.42,0.285,0.346,0.209
"P05","Poco",0.107,0.267,0.099,0.146
"P05","Nada",0.037,0.048,0.041,0.055
"P05","No sabe",0.004,0,0,0.055
"P06","Siempre",0.299,0.303,0.274,0.313
"P06","Casi siempre",0.482,0.298,0.445,0.13
"P06","Casi nunca",0.201,0.221,0.183,0.361
"P06","Nunca, pero esta es una excepción",0.018,0.178,0.098,0.196
"P08","Unión por la Patria y el peronismo",0.072,0.323,0.617,0.227
"P08","Juntos por el Cambio",0.808,0.175,0.133,0.086
"P08","De los Liberales libertarios",0.096,0.318,0.164,0.412
"P08","De la Izquierda",0.009,0.037,0.027,0
"P08","No sabe",0.015,0.147,0.059,0.275
"P09","A Sergio Massa",0.33,0.329,0.311,0.253
"P09","A Daniel Scioli",0.07,0.212,0.058,0
"P09","A algún candidato del peronismo",0.435,0.175,0.038,0
"P09","Wado de Pedro",0.165,0.284,0.593,0.747
"P10","A Horacio Rodriguez Larreta",0.053,0.455,0.131,0.22
"P10","A Patricia Bullrich",0.932,0.228,0.63,0
"P10","A Facundo Manes",0.006,0.082,0.22,0
"P10","A Gerardo Morales",0.009,0.235,0.019,0.78
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.038,0.15,0.53,0.33
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.019,0.05,0.088,0.077
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.692,0.188,0.091,0
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.09,0.142,0.051,0.024
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.107,0.373,0.164,0.294
