"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.613,0.41,0.404,0.333,0.406,0.481
"P05","Bastante",0.253,0.374,0.339,0.473,0.227,0.293
"P05","Poco",0.083,0.155,0.206,0.103,0.123,0.17
"P05","Nada",0.038,0.052,0.043,0.091,0.244,0.054
"P05","No sabe",0.013,0.009,0.008,0,0,0.002
"P06","Siempre",0.313,0.275,0.299,0.223,0.384,0.247
"P06","Casi siempre",0.476,0.431,0.272,0.331,0.174,0.391
"P06","Casi nunca",0.134,0.185,0.272,0.358,0.3,0.21
"P06","Nunca, pero esta es una excepción",0.077,0.109,0.157,0.088,0.142,0.152
"P08","Unión por la Patria y el peronismo",0.8,0.115,0.034,0.547,0.197,0.32
"P08","Juntos por el Cambio",0.093,0.785,0.204,0.08,0.069,0.201
"P08","De los Liberales libertarios",0.015,0.033,0.629,0,0.41,0.082
"P08","De la Izquierda",0.022,0,0.03,0.326,0,0.033
"P08","No sabe",0.07,0.067,0.103,0.047,0.324,0.364
"P09","A Sergio Massa",0.424,0.082,0.082,0.276,0.064,0.072
"P09","A Daniel Scioli",0.034,0.246,0.695,0.249,0,0.019
"P09","A algún candidato del peronismo",0.074,0.465,0.223,0.046,0.38,0.203
"P09","Wado de Pedro",0.468,0.207,0,0.429,0.556,0.706
"P10","A Horacio Rodriguez Larreta",0.152,0.093,0.231,1,0.23,0.148
"P10","A Patricia Bullrich",0.379,0.864,0.57,0,0.77,0.207
"P10","A Facundo Manes",0.412,0.014,0.076,0,0,0.146
"P10","A Gerardo Morales",0.057,0.029,0.123,0,0,0.499
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.73,0.01,0.119,0.309,0.052,0.13
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.1,0.038,0.006,0.058,0.062,0.059
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.061,0.734,0.112,0,0.061,0.034
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.05,0.144,0.058,0.151,0.098,0.147
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.019,0.026,0.656,0,0.429,0.049
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.002,0.003,0.418,0,0.012
"P11","En blanco",0,0.016,0,0.024,0.238,0.041
"P11","No sabe",0.027,0.03,0.046,0.04,0.06,0.528
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.713,0.107,0.057,0.418,0.085,0.2
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.103,0.019,0.004,0,0.04,0.044
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.08,0.664,0.122,0.024,0.043,0.014
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.021,0.14,0.076,0.18,0.14,0.129
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.03,0.681,0,0.416,0.052
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0,0.008,0.338,0,0.041
"P13","En blanco",0.008,0.009,0.013,0,0.227,0.027
"P13","No sabe",0.059,0.031,0.039,0.04,0.049,0.493
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.749,0.064,0.053,0.506,0.121,0.254
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.073,0.016,0.048,0.013,0.127,0.035
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.077,0.758,0.093,0.024,0.022,0.052
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.018,0.106,0.079,0.167,0.085,0.155
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.025,0.687,0.014,0.413,0.035
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.005,0.014,0.236,0,0.015
"P15","En blanco",0.02,0.006,0,0,0.196,0.059
"P15","No sabe",0.043,0.02,0.026,0.04,0.036,0.395
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.775,0.055,0.02,0.279,0.026,0.085
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.066,0.077,0.027,0.054,0.033,0.096
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.056,0.689,0.14,0.041,0.057,0.099
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.011,0.111,0.078,0.18,0.098,0.093
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.036,0.698,0.014,0.413,0.04
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0,0.011,0.368,0,0.009
"P17","En blanco",0.011,0.004,0,0,0.312,0.063
"P17","No sabe",0.053,0.028,0.026,0.064,0.061,0.515
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.722,0.133,0.004,0.26,0.082,0.199
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.059,0.024,0.023,0.038,0.043,0.034
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.095,0.678,0.109,0.024,0.025,0.006
