"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","A Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.545,0.51,0.414,0.375,0.345,0.538,0.134,0.267
"P05","Bastante",0.253,0.259,0.37,0.289,0.326,0.094,0.251,0.221
"P05","Poco",0.129,0.096,0.168,0.249,0.22,0.112,0.395,0.234
"P05","Nada",0.046,0.125,0.043,0.082,0.106,0.193,0.216,0.227
"P05","No sabe",0.027,0.01,0.005,0.005,0.003,0.063,0.004,0.051
"P06","Siempre",0.277,0.305,0.27,0.161,0.209,0.269,0.199,0.111
"P06","Casi siempre",0.413,0.316,0.408,0.44,0.261,0.277,0.184,0.257
"P06","Casi nunca",0.197,0.233,0.215,0.246,0.335,0.341,0.396,0.349
"P06","Nunca, pero esta es una excepción",0.113,0.146,0.107,0.153,0.195,0.113,0.221,0.283
"P08","Unión por la Patria y el peronismo",0.724,0.631,0.118,0.118,0.023,0.295,0.106,0.179
"P08","Juntos por el Cambio",0.106,0.277,0.745,0.631,0.046,0.039,0.039,0.048
"P08","De los Liberales libertarios",0.062,0.021,0.076,0.044,0.642,0.098,0.031,0.069
"P08","De la Izquierda",0.023,0.03,0.013,0.068,0.043,0.463,0.025,0.051
"P08","No sabe",0.085,0.041,0.048,0.139,0.246,0.105,0.799,0.653
"P09","A Sergio Massa",0.388,0.117,0.295,0.275,0.072,0.448,0,0.133
"P09","A Daniel Scioli",0.051,0.028,0.197,0.124,0.204,0,0,0.088
"P09","A algún candidato del peronismo",0.128,0.213,0.421,0.135,0.079,0.258,0.183,0.283
"P09","Wado de Pedro",0.433,0.642,0.087,0.466,0.645,0.294,0.817,0.496
"P10","A Horacio Rodriguez Larreta",0.351,0.007,0.072,0.503,0.05,0.339,0,0.078
"P10","A Patricia Bullrich",0.165,0.761,0.873,0.288,0.735,0.661,0.825,0.359
"P10","A Facundo Manes",0.341,0.057,0.023,0.095,0,0,0.175,0.321
"P10","A Gerardo Morales",0.143,0.175,0.032,0.114,0.215,0,0,0.242
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.702,0.317,0.12,0.097,0.029,0.193,0.07,0.092
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.04,0.365,0.004,0.108,0.019,0,0.008,0.019
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.091,0.212,0.752,0.09,0.014,0.016,0.053,0.048
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.028,0.029,0.059,0.617,0.016,0,0.011,0.02
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.046,0.017,0.025,0.07,0.851,0.101,0.02,0.049
