"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","Wado de Pedro"
"P05","Mucho",0.526,0.339,0.556,0.578
"P05","Bastante",0.242,0.188,0.236,0.298
"P05","Poco",0.15,0.374,0.103,0.067
"P05","Nada",0.067,0.099,0.066,0.047
"P05","No sabe",0.015,0,0.039,0.01
"P06","Siempre",0.351,0.219,0.328,0.248
"P06","Casi siempre",0.372,0.31,0.353,0.459
"P06","Casi nunca",0.179,0.189,0.22,0.162
"P06","Nunca, pero esta es una excepción",0.098,0.282,0.099,0.131
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.726,0.416,0.389,0.562
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.051,0.053,0.152,0.194
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.098,0.286,0.227,0.02
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.04,0.079,0.032,0.047
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.048,0.007,0.024
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.04,0,0.038,0.018
"P11","En blanco",0,0,0.015,0.03
"P11","No sabe",0.041,0.118,0.14,0.105
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.654,0.541,0.522,0.652
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.045,0.053,0.106,0.118
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.107,0.109,0.148,0.042
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.028,0.011,0.084,0.019
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.137,0.005,0.012
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.032,0.044,0.005,0.02
"P13","En blanco",0.002,0,0.031,0.013
"P13","No sabe",0.119,0.105,0.099,0.124
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.719,0.396,0.451,0.795
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.064,0.054,0.094,0.09
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.073,0.28,0.181,0.048
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.026,0.047,0.103,0.028
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.136,0.005,0.016
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.08,0,0.001
"P15","En blanco",0.019,0,0.005,0
"P15","No sabe",0.067,0.007,0.161,0.022
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.784,0.28,0.416,0.624
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.061,0.441,0.133,0.054
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.069,0.092,0.156,0.057
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.018,0.024,0.099,0.008
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.163,0.024,0
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0,0,0.032
"P17","En blanco",0,0,0.022,0.039
"P17","No sabe",0.045,0,0.15,0.186
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.647,0.537,0.499,0.712
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.052,0.216,0.078,0.061
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.081,0.034,0.155,0.028
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.06,0.036,0.104,0.019
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.177,0.013,0
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0,0.035,0.022
"P19","En blanco",0.029,0,0.054,0.023
"P19","No sabe",0.102,0,0.062,0.135
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.659,0.187,0.461,0.878
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.079,0.565,0.085,0.049
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.091,0.044,0.222,0.039
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.012,0.024,0.075,0
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.18,0.007,0
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0,0.042,0
"P21","En blanco",0.031,0,0.024,0.002
"P21","No sabe",0.086,0,0.084,0.032
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.916,0.33,0.366,0.727
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.027,0.367,0.357,0.049
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.185,0.031,0
