"var","categoria","Unión por la Patria y el peronismo","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Mucho",0.534,0.41,0.382,0.438,0.186
"P05","Bastante",0.274,0.362,0.335,0.121,0.25
"P05","Poco",0.117,0.187,0.169,0.309,0.27
"P05","Nada",0.062,0.034,0.108,0.132,0.244
"P05","No sabe",0.013,0.007,0.006,0,0.05
"P06","Siempre",0.294,0.23,0.264,0.169,0.113
"P06","Casi siempre",0.405,0.438,0.264,0.243,0.22
"P06","Casi nunca",0.176,0.25,0.303,0.237,0.367
"P06","Nunca, pero esta es una excepción",0.125,0.082,0.169,0.351,0.3
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.561,0.073,0.072,0.103,0.08
"P11","A Leonardo Grosso a intendente por Unión por la Patria",0.131,0.051,0.006,0.037,0.01
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.106,0.601,0.102,0.067,0.052
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.045,0.213,0.025,0.15,0.063
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.031,0.719,0.19,0.224
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.003,0.015,0.274,0.013
"P11","En blanco",0.016,0.005,0.007,0.021,0.143
"P11","No sabe",0.094,0.023,0.054,0.158,0.415
"P13","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.616,0.107,0.027,0.138,0.094
"P13","A Leonardo Grosso a intendente por Unión por la Patria",0.089,0.041,0.016,0.085,0.023
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.093,0.595,0.085,0.062,0.061
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.032,0.205,0.033,0.074,0.052
"P13","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.025,0.787,0.227,0.183
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.001,0.005,0.246,0.01
"P13","En blanco",0.011,0.009,0.016,0.04,0.165
"P13","No sabe",0.114,0.017,0.031,0.128,0.412
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.667,0.093,0.037,0.183,0.083
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.077,0.039,0.015,0.02,0.04
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.11,0.645,0.063,0.117,0.07
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.042,0.167,0.047,0.125,0.056
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.031,0.802,0.233,0.165
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.002,0.003,0.193,0.029
"P15","En blanco",0.006,0.008,0.008,0.013,0.185
"P15","No sabe",0.057,0.015,0.025,0.116,0.372
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.606,0.104,0.029,0.175,0.112
