"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.002,0,0,0.014,0.264,0.057,0
"P13","En blanco",0.006,0.025,0.001,0.019,0,0.009,0.467,0.069
"P13","No sabe",0.072,0.075,0.023,0.011,0.048,0.384,0.136,0.744
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.75,0.225,0.116,0.029,0.032,0.027,0.044,0.107
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.06,0.144,0.017,0.1,0.018,0.03,0.112,0.015
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.121,0.346,0.79,0.219,0.026,0.051,0,0.052
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.019,0.162,0.014,0.603,0.009,0.023,0.032,0.026
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.008,0.051,0.018,0.879,0.121,0.081,0
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0,0.001,0.019,0.002,0.323,0,0.031
"P15","En blanco",0.002,0.025,0.003,0,0.019,0.199,0.598,0.036
"P15","No sabe",0.016,0.09,0.008,0.012,0.015,0.226,0.133,0.733
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.652,0.198,0.113,0.007,0.002,0.101,0.115,0.158
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.041,0.441,0.019,0.153,0.005,0,0.006,0.01
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.138,0.096,0.793,0.15,0.035,0.067,0.016,0.11
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.005,0.125,0.022,0.654,0.01,0.053,0.025,0.011
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.008,0.033,0.028,0.925,0.121,0.081,0.007
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.033,0,0.004,0.02,0.233,0,0
"P17","En blanco",0.022,0.067,0.001,0,0,0.208,0.562,0.042
