"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.485,0.401,0.363
"P06","Bastante",0.336,0.255,0.118
"P06","Poco",0.139,0.219,0.264
"P06","Nada",0.025,0.113,0.208
"P06","No sabe",0.015,0.012,0.047
"P07","Siempre",0.278,0.094,0.121
"P07","Casi siempre",0.381,0.466,0.07
"P07","Casi nunca",0.256,0.271,0.567
"P07","Nunca, pero esta es una excepción",0.085,0.169,0.242
"P10","Unión por la Patria",0.337,0.236,0.17
"P10","Juntos por el Cambio",0.395,0.395,0.276
"P10","Liberales",0.126,0.078,0.188
"P10","Izquierda",0.036,0.027,0.069
"P10","Otro",0.038,0.078,0.049
"P10","No sabe",0.068,0.186,0.248
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.247,0.158,0.163
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.087,0.09,0.021
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.288,0.277,0.2
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.133,0.129,0.088
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.149,0.091,0.224
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.026,0.09
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.021,0.024
"P11","Otros",0.021,0.035,0.041
"P11","En blanco",0.015,0.053,0.043
"P11","No sabe",0.023,0.12,0.106
"P14","Totalmente seguro",0.665,0.406,0.509
"P14","Bastante seguro",0.151,0.194,0.175
"P14","Algo seguro",0.107,0.163,0.071
"P14","Para nada seguro",0.077,0.237,0.245
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.29,0.205,0.165
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.305,0.257,0.198
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.164,0.172,0.093
"P15","Ramiro Marra por la Libertad Avanza",0.126,0.116,0.271
"P15","Vanina Biasi por el Frente de Izquierda",0.04,0.042,0.1
"P15","Otros",0.043,0.109,0.005
"P15","En blanco",0.012,0.029,0.059
"P15","No sabe",0.02,0.07,0.109
"P18","Totalmente seguro",0.698,0.374,0.625
"P18","Bastante seguro",0.15,0.25,0.066
"P18","Algo seguro",0.096,0.194,0.12
"P18","Para nada seguro",0.056,0.182,0.189
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.218,0.135,0.188
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.103,0.081,0.103
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.26,0.237,0.231
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.159,0.193,0.119
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.137,0.167,0.173
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.015,0.079
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.015,0.003
"P23","Otros",0.024,0.046,0.024
"P23","En blanco",0.038,0.042,0.023
"P23","No sabe",0.026,0.069,0.057
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.241,0.26,0.111
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.256,0.254,0.216
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.167,0.224,0.09
"P26","Ramiro Marra por la Libertad Avanza",0.121,0.071,0.216
"P26","Vanina Biasi por el Frente de Izquierda",0.056,0.042,0.03
"P26","Otros",0.045,0.038,0.146
"P26","En blanco",0.062,0.066,0.088
"P26","No sabe",0.052,0.045,0.103
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.303,0.304,0.25
