"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.231,0.244,0.221,0.246,0.247,0.233,0.191,0.249,0.205,0.242,0.516,0.08,0.149
"Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.083,0.082,0.083,0.056,0.12,0.076,0.052,0.072,0.058,0.102,0.174,0.031,0.055
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.281,0.247,0.31,0.139,0.219,0.359,0.435,0.246,0.286,0.29,0.07,0.473,0.165
"Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.129,0.1,0.154,0.085,0.127,0.128,0.175,0.113,0.144,0.125,0.04,0.196,0.212
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.148,0.226,0.082,0.286,0.158,0.098,0.054,0.159,0.165,0.133,0.081,0.156,0.17
"Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.034,0.027,0.04,0.091,0.029,0.012,0.01,0.051,0.014,0.041,0.037,0.015,0.077
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.007,0.012,0.009,0.009,0.011,0.011,0.017,0.005,0.01,0.007,0.009,0.02
"Otros",0.024,0.025,0.022,0.02,0.034,0.022,0.012,0.031,0.024,0.021,0.032,0.011,0.021
"En blanco",0.021,0.02,0.022,0.028,0.02,0.015,0.024,0.024,0.025,0.019,0.024,0.011,0.036
"No sabe",0.039,0.022,0.054,0.04,0.037,0.046,0.036,0.038,0.074,0.017,0.019,0.018,0.095
