"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.64,0.483,0.513,0.318
"P06","Bastante",0.244,0.361,0.348,0.387
"P06","Poco",0.1,0.127,0.111,0.246
"P06","Nada",0.013,0.027,0.021,0.03
"P06","No sabe",0.003,0.002,0.007,0.019
"P07","Siempre",0.307,0.251,0.345,0.196
"P07","Casi siempre",0.422,0.474,0.378,0.456
"P07","Casi nunca",0.232,0.216,0.178,0.253
"P07","Nunca, pero esta es una excepción",0.039,0.059,0.099,0.095
"P08","Tiene Decidido que va a ir a votar",0.875,0.863,0.807,0.785
"P08","Tiene dudas sobre si va a ir a  votar",0.08,0.098,0.115,0.126
"P08","Tiene Decidido que no va a ir a votar",0.045,0.039,0.078,0.089
"P10","Unión por la Patria",0.784,0.114,0.132,0.086
"P10","Juntos por el Cambio",0.112,0.697,0.37,0.431
"P10","Liberales",0.042,0.131,0.344,0.151
"P10","Izquierda",0.029,0.014,0.056,0.115
"P10","Otro",0.006,0.02,0.042,0.035
"P10","No sabe",0.027,0.024,0.056,0.182
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.63,0.026,0.037,0.008
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.206,0.023,0.063,0.019
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.054,0.527,0.327,0.393
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.044,0.267,0.045,0.022
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.021,0.121,0.36,0.232
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.008,0.096,0.102
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.003,0.016,0.06
"P11","Otros",0.004,0.005,0.026,0.013
"P11","En blanco",0,0.006,0.03,0.036
"P11","No sabe",0.011,0.014,0,0.115
"P14","Totalmente seguro",0.69,0.576,0.74,0.576
"P14","Bastante seguro",0.163,0.217,0.095,0.123
"P14","Algo seguro",0.083,0.127,0.063,0.171
"P14","Para nada seguro",0.064,0.08,0.102,0.13
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.685,0.046,0.108,0.059
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.082,0.519,0.328,0.314
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.063,0.257,0.095,0.131
"P15","Ramiro Marra por la Libertad Avanza",0.083,0.128,0.293,0.249
"P15","Vanina Biasi por el Frente de Izquierda",0.047,0.017,0.073,0.068
"P15","Otros",0.029,0.014,0.036,0.041
"P15","En blanco",0,0.003,0.041,0.012
"P15","No sabe",0.011,0.016,0.026,0.126
"P18","Totalmente seguro",0.743,0.624,0.723,0.543
"P18","Bastante seguro",0.133,0.217,0.159,0.091
"P18","Algo seguro",0.072,0.111,0.059,0.206
"P18","Para nada seguro",0.052,0.048,0.059,0.16
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.498,0.054,0.114,0.076
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.247,0.017,0.042,0.078
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.082,0.432,0.254,0.391
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.309,0.083,0.055
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.056,0.133,0.307,0.136
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.037,0,0.035,0.025
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.01,0.022,0.02
"P23","Otros",0.015,0.005,0.031,0.02
"P23","En blanco",0.014,0.015,0.09,0.072
"P23","No sabe",0.009,0.025,0.022,0.127
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.504,0.08,0.071,0.059
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.067,0.434,0.204,0.408
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.113,0.266,0.102,0.071
"P26","Ramiro Marra por la Libertad Avanza",0.05,0.101,0.324,0.118
"P26","Vanina Biasi por el Frente de Izquierda",0.128,0.018,0.047,0.032
"P26","Otros",0.053,0.015,0.077,0.029
"P26","En blanco",0.049,0.029,0.158,0.11
"P26","No sabe",0.036,0.057,0.017,0.173
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.805,0.033,0.07,0.012
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.671,0.329,0.437
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.027,0.151,0.399,0.268
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.004,0.072,0.072
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.016,0.03,0.046
"P30","Otros",0.01,0.029,0.024,0.026
"P30","En blanco",0.017,0.047,0.047,0.037
"P30","No sabe",0.008,0.049,0.029,0.102
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.788,0.035,0.091,0.018
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.063,0.727,0.107,0.138
