"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Mucho",0.539,0.538,0.402,0.34
"P06","Bastante",0.311,0.335,0.342,0.287
"P06","Poco",0.124,0.088,0.171,0.176
"P06","Nada",0.023,0.021,0.046,0.159
"P06","No sabe",0.003,0.018,0.039,0.038
"P07","Siempre",0.296,0.201,0.16,0.201
"P07","Casi siempre",0.407,0.44,0.361,0.256
"P07","Casi nunca",0.232,0.258,0.359,0.343
"P07","Nunca, pero esta es una excepción",0.065,0.101,0.12,0.2
"P08","Tiene Decidido que va a ir a votar",0.897,0.82,0.765,0.635
"P08","Tiene dudas sobre si va a ir a  votar",0.056,0.159,0.179,0.24
"P08","Tiene Decidido que no va a ir a votar",0.047,0.021,0.056,0.125
"P10","Unión por la Patria",0.374,0.292,0.258,0.222
"P10","Juntos por el Cambio",0.39,0.501,0.441,0.32
"P10","Liberales",0.143,0.078,0.09,0.055
"P10","Izquierda",0.033,0.067,0.06,0.023
"P10","Otro",0.031,0.018,0.022,0.073
"P10","No sabe",0.029,0.044,0.129,0.307
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.254,0.202,0.172,0.151
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.097,0.098,0.069,0.063
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.3,0.329,0.297,0.23
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.13,0.184,0.186,0.063
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.152,0.083,0.125,0.067
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.07,0.04,0.027
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.004,0.007,0.021
"P11","Otros",0.022,0.011,0.02,0.012
"P11","En blanco",0.007,0.015,0.03,0.056
"P11","No sabe",0.006,0.004,0.054,0.31
"P14","Totalmente seguro",0.809,0.355,0.326,0.271
"P14","Bastante seguro",0.098,0.45,0.202,0.069
"P14","Algo seguro",0.054,0.128,0.353,0.162
"P14","Para nada seguro",0.039,0.067,0.119,0.498
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.31,0.301,0.101,0.207
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.327,0.29,0.267,0.097
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.128,0.258,0.254,0.11
"P15","Ramiro Marra por la Libertad Avanza",0.153,0.044,0.194,0.061
"P15","Vanina Biasi por el Frente de Izquierda",0.043,0.053,0.043,0.034
"P15","Otros",0.029,0.032,0.103,0.12
"P15","En blanco",0.007,0.012,0,0.1
"P15","No sabe",0.003,0.01,0.038,0.271
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.24,0.206,0.092,0.201
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.103,0.096,0.127,0.082
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.276,0.28,0.172
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.136,0.243,0.172,0.133
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.153,0.084,0.204,0.049
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.027,0.02,0.005
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.002,0.016,0.051
"P23","Otros",0.02,0.019,0.038,0.049
"P23","En blanco",0.046,0.019,0.014,0.041
"P23","No sabe",0.012,0.028,0.037,0.217
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.248,0.249,0.167,0.196
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.263,0.26,0.231,0.183
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.134,0.239,0.282,0.177
"P26","Ramiro Marra por la Libertad Avanza",0.134,0.098,0.104,0.059
"P26","Vanina Biasi por el Frente de Izquierda",0.059,0.039,0.038,0.053
"P26","Otros",0.051,0.042,0.053,0.04
"P26","En blanco",0.072,0.043,0.029,0.086
"P26","No sabe",0.039,0.03,0.096,0.206
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.321,0.294,0.201,0.296
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.376,0.446,0.364,0.298
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.16,0.098,0.157,0.066
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.05,0.053,0.06
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.017,0.065,0.029
"P30","Otros",0.033,0.033,0.039,0.023
"P30","En blanco",0.043,0.031,0.068,0.088
"P30","No sabe",0.023,0.031,0.053,0.14
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.328,0.251,0.225,0.341
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.311,0.472,0.427,0.202
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.208,0.121,0.145,0.138
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.049,0.042,0.046
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.012,0.056,0.023
"P31","Otros",0.038,0.028,0.026,0.006
"P31","En blanco",0.027,0.019,0.007,0.055
"P31","No sabe",0.041,0.048,0.072,0.189
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.348,0.309,0.219,0.287
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.391,0.47,0.486,0.227
"P32","Ramiro Marra por la Libertad Avanza",0.148,0.06,0.131,0.067
"P32","Vanina Biasi por el Frente de Izquierda",0.025,0.054,0.035,0.04
"P32","Otros",0.035,0.028,0.011,0.065
"P32","En blanco",0.028,0.038,0.023,0.077
"P32","No sabe",0.025,0.041,0.095,0.237
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.369,0.297,0.149,0.264
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.281,0.508,0.538,0.323
"P33","Ramiro Marra por la Libertad Avanza",0.191,0.091,0.12,0.052
"P33","Vanina Biasi por el Frente de Izquierda",0.029,0.021,0.008,0.026
