"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.032,0.156,0.098,0.424,0.016,0.065,0.23,0.173
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.056,0,0.028,0.027,0.144,0.051,0.077,0.022
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.011,0.031,0.027,0.012,0.072,0.011,0.034
"P30","Otros",0.021,0.028,0.035,0.006,0.025,0.231,0.04,0.005
"P30","En blanco",0.054,0.018,0.042,0.06,0,0.025,0.152,0.073
"P30","No sabe",0.019,0.028,0.029,0.007,0.036,0.032,0.004,0.247
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.718,0.064,0.208,0.105,0.578,0.356,0.254,0.199
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.117,0.586,0.577,0.254,0.128,0.106,0.134,0.269
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.206,0.115,0.537,0.047,0.084,0.312,0.129
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.04,0.023,0.022,0.014,0.194,0.062,0.063,0.023
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.006,0.022,0.019,0.005,0.013,0.016,0.084
"P31","Otros",0.014,0.026,0.022,0.013,0.028,0.317,0.013,0.023
"P31","En blanco",0.004,0.027,0.001,0.024,0,0.029,0.184,0.031
"P31","No sabe",0.05,0.062,0.033,0.034,0.02,0.033,0.024,0.242
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.777,0.061,0.163,0.122,0.676,0.363,0.248,0.225
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.105,0.756,0.591,0.378,0.114,0.159,0.24,0.206
"P32","Ramiro Marra por la Libertad Avanza",0.037,0.126,0.07,0.401,0.026,0.045,0.205,0.167
"P32","Vanina Biasi por el Frente de Izquierda",0.027,0.02,0.04,0.036,0.116,0.026,0.005,0.016
"P32","Otros",0.025,0.014,0.059,0.024,0.038,0.153,0.032,0.005
"P32","En blanco",0.016,0.006,0.026,0.01,0,0.217,0.161,0.033
"P32","No sabe",0.013,0.017,0.051,0.029,0.03,0.037,0.109,0.348
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.752,0.068,0.174,0.129,0.67,0.53,0.273,0.22
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.167,0.537,0.692,0.16,0.124,0.085,0.142,0.216
"P33","Ramiro Marra por la Libertad Avanza",0.024,0.178,0.052,0.587,0.026,0.056,0.266,0.102
"P33","Vanina Biasi por el Frente de Izquierda",0.014,0.026,0.018,0.013,0.105,0.077,0.005,0.017
"P33","Otros",0.012,0.055,0.023,0.055,0.035,0.216,0.021,0.108
"P33","En blanco",0.008,0.055,0.027,0.025,0.026,0.018,0.228,0.058
"P33","No sabe",0.023,0.081,0.014,0.031,0.014,0.018,0.065,0.279
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.828,0.081,0.266,0.125,0.704,0.463,0.308,0.2
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.848,0.647,0.641,0.171,0.278,0.378,0.495
"P36","En blanco",0.06,0.054,0.037,0.162,0.095,0.204,0.293,0.061
"P36","No sabe",0.027,0.017,0.05,0.072,0.03,0.055,0.021,0.244
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.755,0.589,0.391,0.184,0.251,0.214,0.358
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.036,0.138,0.19,0.417,0.14,0.052,0.288,0.194
"P37","En blanco",0.571,0.055,0.129,0.159,0.563,0.587,0.457,0.256
"P37","No sabe",0.179,0.052,0.092,0.033,0.113,0.11,0.041,0.192
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.793,0.093,0.241,0.157,0.736,0.495,0.296,0.257
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.144,0.684,0.643,0.361,0.121,0.161,0.196,0.459
"P38","En blanco",0.045,0.115,0.087,0.411,0.108,0.291,0.381,0.049
"P38","No sabe",0.018,0.108,0.029,0.071,0.035,0.053,0.127,0.235
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.282,0.573,0.621,0.183,0.203,0.207,0.148,0.344
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.24,0.161,0.628,0.216,0.092,0.35,0.285
"P39","En blanco",0.41,0.071,0.118,0.153,0.526,0.572,0.48,0.171
"P39","No sabe",0.253,0.116,0.1,0.036,0.055,0.129,0.022,0.2
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.806,0.075,0.251,0.155,0.731,0.473,0.34,0.23
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.037,0.408,0.374,0.636,0.108,0.133,0.364,0.363
"P40","En blanco",0.127,0.258,0.186,0.113,0.114,0.338,0.277,0.18
"P40","No sabe",0.03,0.259,0.189,0.096,0.047,0.056,0.019,0.227
"P41","Leandro Santoro por Unión por la Patria",0.849,0.074,0.287,0.172,0.795,0.446,0.295,0.226
"P41","Jorge Macri por Juntos por el Cambio",0.071,0.874,0.561,0.628,0.102,0.266,0.334,0.406
"P41","En blanco",0.069,0.031,0.094,0.181,0.06,0.26,0.348,0.141
"P41","No sabe",0.011,0.021,0.058,0.019,0.043,0.028,0.023,0.227
"P42","Leandro Santoro por Unión por la Patria",0.827,0.072,0.195,0.26,0.777,0.501,0.31,0.214
"P42","Martin Lousteau por Juntos por el Cambio",0.125,0.596,0.716,0.251,0.1,0.21,0.21,0.37
"P42","En blanco",0.039,0.192,0.08,0.388,0.046,0.212,0.465,0.197
"P42","No sabe",0.009,0.14,0.009,0.101,0.077,0.077,0.015,0.219
"P43","Lo votaría",0.741,0.053,0.204,0.135,0.719,0.371,0.291,0.236
"P43","Puede que lo vote",0.142,0.107,0.098,0.023,0.081,0.105,0.065,0.077
"P43","Nunca lo votaría",0.096,0.825,0.69,0.768,0.154,0.478,0.636,0.586
"P43","No sabe",0.021,0.015,0.008,0.074,0.046,0.046,0.008,0.101
"P44","Lo votaría",0.519,0.048,0.137,0.143,0.531,0.517,0.266,0.218
"P44","Puede que lo vote",0.255,0.048,0.086,0.082,0.237,0.054,0.109,0.037
"P44","Nunca lo votaría",0.194,0.895,0.73,0.702,0.223,0.394,0.6,0.654
"P44","No sabe",0.032,0.009,0.047,0.073,0.009,0.035,0.025,0.091
"P45","Lo votaría",0.143,0.71,0.566,0.473,0.123,0.256,0.262,0.199
"P45","Puede que lo vote",0.059,0.159,0.108,0.225,0.038,0.075,0.054,0.292
"P45","Nunca lo votaría",0.757,0.12,0.318,0.23,0.824,0.646,0.615,0.396
"P45","No sabe",0.041,0.011,0.008,0.072,0.015,0.023,0.069,0.113
"P46","Lo votaría",0.138,0.516,0.505,0.221,0.079,0.177,0.082,0.189
"P46","Puede que lo vote",0.102,0.256,0.234,0.167,0.144,0.079,0.078,0.377
"P46","Nunca lo votaría",0.732,0.192,0.243,0.566,0.771,0.744,0.832,0.33
"P46","No sabe",0.028,0.036,0.018,0.046,0.006,0,0.008,0.104
"P47","Lo votaría",0.097,0.197,0.156,0.513,0.067,0.074,0.218,0.172
"P47","Puede que lo vote",0.054,0.278,0.257,0.22,0.116,0.065,0.116,0.164
"P47","Nunca lo votaría",0.838,0.496,0.555,0.219,0.811,0.861,0.658,0.584
"P47","No sabe",0.011,0.029,0.032,0.048,0.006,0,0.008,0.08
"P48","Lo votaría",0.073,0.028,0.029,0.177,0.292,0.134,0.136,0.14
"P48","Puede que lo vote",0.299,0.052,0.141,0.052,0.495,0.157,0.139,0.205
"P48","Nunca lo votaría",0.57,0.903,0.758,0.757,0.201,0.696,0.702,0.596
"P48","No sabe",0.058,0.017,0.072,0.014,0.012,0.013,0.023,0.059
"P49","Lo votaría",0.058,0.031,0.027,0.12,0.046,0.025,0.018,0.007
"P49","Puede que lo vote",0.203,0.178,0.189,0.093,0.351,0.203,0.205,0.274
"P49","Nunca lo votaría",0.691,0.746,0.746,0.703,0.564,0.76,0.701,0.647
"P49","No sabe",0.048,0.045,0.038,0.084,0.039,0.012,0.076,0.072
"P57","Lo votaría",0.669,0.028,0.147,0.126,0.646,0.459,0.267,0.194
"P57","Puede que lo vote",0.148,0.063,0.083,0.144,0.077,0.19,0.049,0.025
"P57","Nunca lo votaría",0.171,0.883,0.731,0.647,0.252,0.327,0.608,0.68
"P57","No sabe",0.012,0.026,0.039,0.083,0.025,0.024,0.076,0.101
"P58","Lo votaría",0.131,0.656,0.456,0.39,0.159,0.317,0.256,0.117
"P58","Puede que lo vote",0.029,0.194,0.134,0.184,0.029,0.097,0.131,0.3
"P58","Nunca lo votaría",0.833,0.146,0.379,0.341,0.796,0.549,0.597,0.494
"P58","No sabe",0.007,0.004,0.031,0.085,0.016,0.037,0.016,0.089
"P59","Lo votaría",0.121,0.398,0.485,0.128,0.096,0.031,0.138,0.115
"P59","Puede que lo vote",0.174,0.259,0.33,0.196,0.113,0.28,0.128,0.245
"P59","Nunca lo votaría",0.674,0.309,0.128,0.593,0.725,0.668,0.71,0.477
"P59","No sabe",0.031,0.034,0.057,0.083,0.066,0.021,0.024,0.163
"P60","Si",0.454,0.438,0.504,0.532,0.426,0.607,0.584,0.349
"P60","No",0.546,0.562,0.496,0.468,0.574,0.393,0.416,0.651
