"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.658,0.487,0.393,0.499,0.519,0.343,0.457,0.343
"P06","Bastante",0.232,0.365,0.344,0.292,0.341,0.438,0.388,0.343
"P06","Poco",0.078,0.132,0.197,0.181,0.031,0.219,0.155,0.245
"P06","Nada",0.027,0.014,0.059,0.017,0.109,0,0,0.044
"P06","No sabe",0.005,0.002,0.007,0.011,0,0,0,0.025
"P07","Siempre",0.264,0.274,0.235,0.324,0.309,0.299,0.266,0.217
"P07","Casi siempre",0.436,0.482,0.23,0.272,0.341,0.315,0.431,0.499
"P07","Casi nunca",0.222,0.209,0.374,0.344,0.233,0.349,0.227,0.206
"P07","Nunca, pero esta es una excepción",0.078,0.035,0.161,0.06,0.117,0.037,0.076,0.078
"P08","Tiene Decidido que va a ir a votar",0.854,0.869,0.855,0.87,0.878,0.73,0.712,0.718
"P08","Tiene dudas sobre si va a ir a  votar",0.097,0.089,0.073,0.074,0.077,0.139,0.208,0.114
"P08","Tiene Decidido que no va a ir a votar",0.049,0.042,0.072,0.056,0.045,0.131,0.08,0.168
"P10","Unión por la Patria",0.813,0.114,0.117,0.181,0.3,0.135,0.25,0.104
"P10","Juntos por el Cambio",0.123,0.793,0.123,0.073,0.302,0.407,0.486,0.501
"P10","Liberales",0.009,0.055,0.662,0.139,0.078,0.01,0.014,0.037
"P10","Izquierda",0.01,0.008,0.022,0.489,0.137,0.127,0,0
"P10","Otro",0.006,0.017,0.025,0.021,0.075,0.241,0.066,0.007
"P10","No sabe",0.039,0.013,0.051,0.097,0.108,0.08,0.184,0.351
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.696,0.022,0.024,0.044,0.157,0.038,0.097,0.025
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.187,0.005,0.036,0.352,0.082,0.053,0.138,0.045
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.012,0.753,0.08,0.072,0.036,0.047,0.036,0.039
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.044,0.169,0.046,0.055,0.305,0.442,0.365,0.43
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.008,0.029,0.768,0.037,0.184,0.017,0.081,0.057
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.007,0.017,0.406,0.031,0.094,0.05,0.075
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.002,0.005,0.008,0.177,0,0.041,0
"P11","Otros",0.005,0.002,0.002,0.026,0,0.292,0.014,0.008
"P11","En blanco",0.007,0.003,0.012,0,0,0.007,0.166,0.034
"P11","No sabe",0.02,0.008,0.01,0,0.028,0.01,0.012,0.287
"P14","Totalmente seguro",0.673,0.639,0.682,0.61,0.484,0.564,0.523,0.395
"P14","Bastante seguro",0.191,0.167,0.148,0.151,0.18,0.236,0.194,0.108
"P14","Algo seguro",0.075,0.111,0.124,0.18,0.214,0.078,0.111,0.11
"P14","Para nada seguro",0.061,0.083,0.046,0.059,0.122,0.122,0.172,0.387
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.754,0.049,0.054,0.257,0.184,0.138,0.169,0.079
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.04,0.65,0.161,0,0.092,0.175,0.246,0.248
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.084,0.184,0.124,0.219,0.336,0.338,0.259,0.33
"P15","Ramiro Marra por la Libertad Avanza",0.05,0.062,0.559,0.069,0.177,0.065,0.103,0.068
"P15","Vanina Biasi por el Frente de Izquierda",0.019,0.008,0.064,0.273,0.184,0.131,0.08,0.011
"P15","Otros",0.04,0.016,0.013,0.129,0,0.153,0.076,0.018
"P15","En blanco",0,0.011,0.01,0.053,0,0,0.048,0
"P15","No sabe",0.013,0.02,0.015,0,0.027,0,0.019,0.246
"P18","Totalmente seguro",0.717,0.667,0.752,0.543,0.461,0.678,0.63,0.451
"P18","Bastante seguro",0.158,0.191,0.112,0.22,0.134,0.163,0.11,0.146
"P18","Algo seguro",0.066,0.095,0.109,0.14,0.319,0.118,0.146,0.156
"P18","Para nada seguro",0.059,0.047,0.027,0.097,0.086,0.041,0.114,0.247
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.571,0.039,0.057,0.17,0.095,0.072,0.05,0.107
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.239,0.016,0.035,0.311,0.147,0.052,0.114,0.023
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.039,0.491,0.31,0.067,0.301,0.119,0.214,0.193
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.039,0.275,0.077,0.073,0.135,0.317,0.254,0.217
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.137,0.42,0.058,0.017,0.006,0.014,0.039
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.002,0.005,0.263,0.03,0.136,0.015,0
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.006,0,0.008,0.216,0.007,0,0
"P23","Otros",0.012,0.003,0.002,0.05,0.031,0.202,0.027,0.03
"P23","En blanco",0.01,0.016,0.073,0,0,0.06,0.291,0.025
"P23","No sabe",0.011,0.015,0.021,0,0.028,0.029,0.021,0.366
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.536,0.062,0.052,0.348,0.122,0.144,0.269,0.132
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.048,0.479,0.282,0,0.139,0.218,0.103,0.209
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.125,0.233,0.117,0.127,0.262,0.183,0.157,0.148
"P26","Ramiro Marra por la Libertad Avanza",0.038,0.113,0.358,0.086,0.163,0.023,0.156,0.026
"P26","Vanina Biasi por el Frente de Izquierda",0.114,0.021,0.006,0.215,0.032,0.041,0,0.06
"P26","Otros",0.047,0.023,0.02,0.06,0.158,0.306,0.023,0.042
"P26","En blanco",0.054,0.039,0.103,0.133,0.036,0.077,0.211,0.008
"P26","No sabe",0.038,0.03,0.062,0.031,0.088,0.008,0.081,0.375
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.911,0.015,0.059,0.05,0.088,0.061,0.141,0.056
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.035,0.698,0.076,0.084,0.318,0.343,0.412,0.502
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.008,0.139,0.82,0.102,0,0,0.017,0
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.004,0.018,0.695,0.049,0.01,0.008,0
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.005,0.022,0.008,0.459,0.083,0.049,0
"P31","Otros",0.005,0.032,0.005,0.019,0.086,0.503,0.017,0
"P31","En blanco",0,0.041,0,0.033,0,0,0.182,0.023
"P31","No sabe",0.019,0.066,0,0.009,0,0,0.174,0.419
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.883,0.013,0.084,0.231,0.094,0.101,0.444,0.104
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.035,0.867,0.153,0.031,0.384,0.327,0.201,0.401
"P32","Ramiro Marra por la Libertad Avanza",0.004,0.049,0.653,0.106,0.041,0.053,0.023,0
"P32","Vanina Biasi por el Frente de Izquierda",0.025,0.012,0.003,0.415,0.139,0.032,0.01,0
"P32","Otros",0.011,0.031,0.025,0.113,0.11,0.203,0.024,0.048
"P32","En blanco",0.016,0.011,0.022,0.027,0.196,0.284,0.167,0.029
"P32","No sabe",0.026,0.017,0.06,0.077,0.036,0,0.131,0.418
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.886,0.03,0.079,0.313,0.204,0.231,0.17,0.106
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.073,0.605,0.216,0.218,0.505,0.466,0.41,0.385
"P33","Ramiro Marra por la Libertad Avanza",0.009,0.119,0.658,0.027,0.197,0.033,0.023,0.089
"P33","Vanina Biasi por el Frente de Izquierda",0.01,0.021,0,0.318,0,0.062,0.034,0
"P33","Otros",0.003,0.074,0.028,0.096,0.054,0.208,0.024,0.029
"P33","En blanco",0.006,0.078,0.003,0.028,0.018,0,0.222,0.044
"P33","No sabe",0.013,0.073,0.016,0,0.022,0,0.117,0.347
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.935,0.053,0.061,0.41,0.157,0.224,0.292,0.289
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.012,0.907,0.636,0.084,0.42,0.349,0.267,0.376
"P36","En blanco",0.04,0.021,0.223,0.427,0.218,0.192,0.379,0.058
"P36","No sabe",0.013,0.019,0.08,0.079,0.205,0.235,0.062,0.277
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.117,0.862,0.147,0.012,0.318,0.512,0.24,0.385
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.085,0.771,0.05,0.071,0.02,0.098,0.044
"P37","En blanco",0.651,0.033,0.069,0.817,0.369,0.32,0.631,0.114
"P37","No sabe",0.186,0.02,0.013,0.121,0.242,0.148,0.031,0.457
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.918,0.066,0.062,0.45,0.314,0.171,0.173,0.077
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.044,0.715,0.402,0.054,0.307,0.556,0.542,0.574
"P38","En blanco",0.035,0.134,0.405,0.335,0.218,0.181,0.208,0.128
"P38","No sabe",0.003,0.085,0.131,0.161,0.161,0.092,0.077,0.221
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.201,0.64,0.081,0.082,0.371,0.557,0.571,0.489
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.194,0.835,0.133,0.22,0.021,0.054,0.091
"P39","En blanco",0.535,0.073,0.066,0.662,0.249,0.218,0.375,0.061
"P39","No sabe",0.215,0.093,0.018,0.123,0.16,0.204,0,0.359
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.918,0.053,0.055,0.554,0.217,0.301,0.294,0.226
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.027,0.407,0.865,0.045,0.229,0.068,0.04,0.171
"P40","En blanco",0.05,0.292,0.059,0.327,0.316,0.338,0.523,0.152
"P40","No sabe",0.005,0.248,0.021,0.074,0.238,0.293,0.143,0.451
"P41","Leandro Santoro por Unión por la Patria",0.91,0.094,0.081,0.614,0.195,0.173,0.379,0.176
"P41","Jorge Macri por Juntos por el Cambio",0.026,0.853,0.567,0.013,0.531,0.537,0.338,0.407
"P41","En blanco",0.056,0.032,0.281,0.359,0.185,0.146,0.261,0.111
"P41","No sabe",0.008,0.021,0.071,0.014,0.089,0.144,0.022,0.306
"P42","Leandro Santoro por Unión por la Patria",0.934,0.051,0.119,0.441,0.483,0.203,0.437,0.087
"P42","Martin Lousteau por Juntos por el Cambio",0.053,0.645,0.326,0.339,0.439,0.53,0.219,0.617
"P42","En blanco",0.005,0.197,0.457,0.205,0.052,0.154,0.245,0.106
"P42","No sabe",0.008,0.107,0.098,0.015,0.026,0.113,0.099,0.19
"P43","Lo votaría",0.923,0.03,0.051,0.201,0.083,0.168,0.167,0.054
"P43","Puede que lo vote",0.046,0.089,0.124,0.412,0.139,0.093,0.163,0.163
"P43","Nunca lo votaría",0.025,0.864,0.77,0.278,0.65,0.706,0.55,0.667
"P43","No sabe",0.006,0.017,0.055,0.109,0.128,0.033,0.12,0.116
"P44","Lo votaría",0.641,0.022,0.068,0.522,0.373,0.187,0.187,0.057
"P44","Puede que lo vote",0.234,0.036,0.073,0.297,0.015,0.092,0.11,0.019
"P44","Nunca lo votaría",0.087,0.933,0.823,0.147,0.416,0.672,0.593,0.755
"P44","No sabe",0.038,0.009,0.036,0.034,0.196,0.049,0.11,0.169
"P45","Lo votaría",0.085,0.822,0.239,0.067,0.263,0.312,0.123,0.153
"P45","Puede que lo vote",0.043,0.071,0.337,0.042,0.175,0.192,0.085,0.329
"P45","Nunca lo votaría",0.865,0.101,0.359,0.865,0.453,0.345,0.669,0.287
"P45","No sabe",0.007,0.006,0.065,0.026,0.109,0.151,0.123,0.231
"P46","Lo votaría",0.039,0.544,0.152,0.025,0.396,0.532,0.397,0.518
"P46","Puede que lo vote",0.096,0.271,0.208,0.046,0.135,0.111,0.111,0.155
"P46","Nunca lo votaría",0.843,0.158,0.609,0.919,0.337,0.269,0.449,0.224
"P46","No sabe",0.022,0.027,0.031,0.01,0.132,0.088,0.043,0.103
"P47","Lo votaría",0.015,0.154,0.794,0.013,0.239,0.255,0.019,0.167
"P47","Puede que lo vote",0.041,0.338,0.121,0,0.056,0.138,0.086,0.134
"P47","Nunca lo votaría",0.939,0.477,0.077,0.964,0.572,0.526,0.803,0.587
"P47","No sabe",0.005,0.031,0.008,0.023,0.133,0.081,0.092,0.112
"P48","Lo votaría",0.12,0.018,0.116,0.459,0.182,0.12,0,0.032
"P48","Puede que lo vote",0.361,0.061,0.073,0.303,0.031,0.101,0.325,0.062
"P48","Nunca lo votaría",0.467,0.908,0.775,0.218,0.727,0.643,0.665,0.837
"P48","No sabe",0.052,0.013,0.036,0.02,0.06,0.136,0.01,0.069
"P49","Lo votaría",0.04,0.025,0.028,0.163,0.437,0.128,0.07,0.116
"P49","Puede que lo vote",0.208,0.148,0.166,0.34,0.382,0.244,0.251,0.116
"P49","Nunca lo votaría",0.705,0.798,0.721,0.487,0.138,0.498,0.566,0.674
"P49","No sabe",0.047,0.029,0.085,0.01,0.043,0.13,0.113,0.094
"P57","Lo votaría",0.796,0.02,0.072,0.272,0.297,0.119,0.137,0.075
"P57","Puede que lo vote",0.059,0.072,0.09,0.292,0.258,0.202,0.327,0.126
"P57","Nunca lo votaría",0.132,0.878,0.802,0.308,0.35,0.643,0.4,0.683
"P57","No sabe",0.013,0.03,0.036,0.128,0.095,0.036,0.136,0.116
"P58","Lo votaría",0.115,0.704,0.223,0.026,0.156,0.322,0.187,0.227
"P58","Puede que lo vote",0.023,0.15,0.271,0.014,0.374,0.164,0.059,0.354
"P58","Nunca lo votaría",0.857,0.137,0.448,0.932,0.361,0.514,0.649,0.275
"P58","No sabe",0.005,0.009,0.058,0.028,0.109,0,0.105,0.144
"P59","Lo votaría",0.035,0.394,0.175,0.31,0.393,0.593,0.278,0.369
"P59","Puede que lo vote",0.164,0.308,0.152,0.189,0.306,0.145,0.147,0.266
"P59","Nunca lo votaría",0.746,0.279,0.554,0.473,0.285,0.262,0.471,0.25
"P59","No sabe",0.055,0.019,0.119,0.028,0.016,0,0.104,0.115
"P60","Si",0.459,0.501,0.447,0.508,0.433,0.625,0.461,0.229
"P60","No",0.541,0.499,0.553,0.492,0.567,0.375,0.539,0.771
