"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.548,0.66,0.477,0.397,0.452,0.487,0.212,0.596,0.247,0.218
"P06","Bastante",0.296,0.237,0.357,0.407,0.307,0.195,0.277,0.329,0.357,0.246
"P06","Poco",0.119,0.047,0.141,0.142,0.179,0.245,0.424,0.053,0.206,0.345
"P06","Nada",0.03,0.053,0.018,0.031,0.058,0.014,0.087,0.022,0.107,0.116
"P06","No sabe",0.007,0.003,0.007,0.023,0.004,0.059,0,0,0.083,0.075
"P07","Siempre",0.264,0.239,0.267,0.234,0.249,0.318,0.068,0.313,0.23,0.085
"P07","Casi siempre",0.418,0.424,0.445,0.471,0.239,0.308,0.425,0.196,0.248,0.208
"P07","Casi nunca",0.247,0.25,0.235,0.215,0.354,0.178,0.385,0.491,0.214,0.446
"P07","Nunca, pero esta es una excepción",0.071,0.087,0.053,0.08,0.158,0.196,0.122,0,0.308,0.261
"P08","Tiene Decidido que va a ir a votar",0.879,0.866,0.846,0.846,0.832,0.741,0.613,0.723,0.597,0.487
"P08","Tiene dudas sobre si va a ir a  votar",0.074,0.118,0.107,0.109,0.067,0.082,0.226,0.162,0.268,0.333
"P08","Tiene Decidido que no va a ir a votar",0.047,0.016,0.047,0.045,0.101,0.177,0.161,0.115,0.135,0.18
"P10","Unión por la Patria",0.823,0.756,0.119,0.092,0.098,0.037,0.208,0.044,0.013,0.073
"P10","Juntos por el Cambio",0.095,0.079,0.79,0.804,0.119,0.188,0.12,0.073,0.169,0.172
"P10","Liberales",0.015,0.059,0.042,0.033,0.667,0.02,0.104,0.022,0.083,0.016
"P10","Izquierda",0.009,0.062,0.001,0.013,0.004,0.614,0,0.174,0.056,0.007
"P10","Otro",0.01,0.015,0.015,0.009,0.056,0.019,0.405,0.501,0.097,0.094
"P10","No sabe",0.048,0.029,0.033,0.049,0.056,0.122,0.163,0.186,0.582,0.638
"P14","Totalmente seguro",0.71,0.665,0.671,0.494,0.741,0.568,0.59,0.493,0.18,0.13
"P14","Bastante seguro",0.157,0.178,0.142,0.26,0.094,0.167,0.041,0.102,0.335,0.087
"P14","Algo seguro",0.072,0.115,0.114,0.133,0.138,0.06,0.173,0.285,0.035,0.104
"P14","Para nada seguro",0.061,0.042,0.073,0.113,0.027,0.205,0.196,0.12,0.45,0.679
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.774,0.623,0.046,0.04,0.063,0.158,0.157,0.18,0.096,0.063
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.034,0.029,0.675,0.411,0.13,0.08,0.148,0.078,0.087,0.112
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.068,0.119,0.144,0.462,0.083,0.247,0.283,0.039,0.139,0.118
"P15","Ramiro Marra por la Libertad Avanza",0.07,0.012,0.072,0.057,0.607,0.007,0.109,0.041,0.073,0.053
"P15","Vanina Biasi por el Frente de Izquierda",0,0.122,0.011,0,0.049,0.351,0,0.234,0.04,0.138
"P15","Otros",0.041,0.087,0.011,0.009,0.036,0.115,0.169,0.428,0.219,0.098
"P15","En blanco",0,0.008,0.013,0.009,0.03,0.042,0.059,0,0.277,0.009
"P15","No sabe",0.013,0,0.028,0.012,0.002,0,0.075,0,0.069,0.409
"P18","Totalmente seguro",0.734,0.702,0.664,0.618,0.762,0.523,0.496,0.752,0.322,0.116
"P18","Bastante seguro",0.137,0.166,0.171,0.205,0.098,0.301,0.116,0.087,0.16,0.021
"P18","Algo seguro",0.08,0.08,0.107,0.143,0.102,0.119,0.126,0.112,0.226,0.172
"P18","Para nada seguro",0.049,0.052,0.058,0.034,0.038,0.057,0.262,0.049,0.292,0.691
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.508,0.516,0.042,0.103,0.066,0.191,0.125,0.034,0.084,0.098
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.264,0.232,0.025,0.025,0.026,0.129,0.031,0.046,0.035,0.02
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.064,0.043,0.415,0.444,0.329,0.047,0.174,0.01,0.089,0.049
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.041,0.018,0.307,0.278,0.035,0.338,0.067,0.04,0.054,0.041
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.041,0.066,0.162,0.072,0.416,0.095,0.059,0.062,0.143,0.068
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.068,0.002,0.007,0.023,0.166,0.054,0.064,0,0
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.024,0.006,0.012,0,0,0.437,0,0.014,0.069
"P23","Otros",0.022,0.017,0.003,0.006,0.013,0.034,0,0.601,0.016,0.089
"P23","En blanco",0.018,0.016,0.022,0.033,0.075,0,0.053,0.115,0.461,0.007
"P23","No sabe",0.012,0,0.016,0.02,0.017,0,0,0.028,0.104,0.559
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.555,0.481,0.055,0.146,0.071,0.326,0.319,0.14,0.16,0.068
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.055,0.054,0.477,0.343,0.216,0.178,0,0.022,0.061,0.174
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.109,0.078,0.221,0.3,0.116,0.08,0.085,0.112,0.085,0.154
"P26","Ramiro Marra por la Libertad Avanza",0.047,0.021,0.111,0.09,0.387,0.124,0.211,0.043,0.106,0.05
"P26","Vanina Biasi por el Frente de Izquierda",0.091,0.165,0.028,0.01,0.009,0.085,0.056,0.148,0,0.04
"P26","Otros",0.051,0.091,0.029,0.051,0.019,0.097,0.187,0.251,0.114,0
"P26","En blanco",0.047,0.085,0.046,0.012,0.115,0.11,0.142,0.223,0.391,0
"P26","No sabe",0.045,0.025,0.033,0.048,0.067,0,0,0.061,0.083,0.514
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.901,0.645,0.012,0.094,0.017,0.163,0.103,0.104,0.148,0.273
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.035,0.023,0.923,0.46,0.078,0.079,0.095,0.058,0.089,0.13
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.016,0.064,0.04,0.051,0.826,0.079,0.086,0.023,0.133,0.073
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.139,0.008,0.014,0.009,0.417,0.035,0.061,0,0
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.02,0.003,0.046,0.027,0.019,0.458,0,0,0.026
"P30","Otros",0.006,0.021,0.005,0.11,0.004,0.097,0,0.69,0.018,0.015
"P30","En blanco",0.018,0.07,0.005,0.117,0.025,0.067,0.223,0.044,0.526,0.025
"P30","No sabe",0.004,0.018,0.004,0.108,0.014,0.079,0,0.02,0.086,0.458
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.91,0.604,0.015,0.05,0.068,0.21,0.182,0.084,0.18,0.289
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.032,0.036,0.629,0.849,0.052,0.236,0.053,0,0.1,0.082
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.015,0.074,0.173,0.024,0.801,0,0.086,0.149,0.214,0.091
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.117,0.014,0,0.008,0.457,0,0.021,0,0
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.005,0.006,0.011,0.052,0,0.679,0.18,0.021,0.028
"P31","Otros",0.002,0.062,0.037,0.033,0,0.097,0,0.542,0.031,0
"P31","En blanco",0,0.049,0.051,0,0,0,0,0,0.349,0
"P31","No sabe",0.02,0.053,0.075,0.033,0.019,0,0,0.024,0.105,0.51
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.875,0.717,0.019,0.116,0.101,0.229,0.229,0.176,0.193,0.045
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.032,0.041,0.844,0.711,0.166,0.089,0.233,0.23,0.05,0.091
"P32","Ramiro Marra por la Libertad Avanza",0.031,0.041,0.077,0.015,0.642,0,0,0.114,0.079,0.09
