"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.63,0.462,0.546,0.391
"P06","Bastante",0.263,0.344,0.348,0.399
"P06","Poco",0.083,0.168,0.087,0.16
"P06","Nada",0.019,0.026,0.016,0.036
"P06","No sabe",0.005,0,0.003,0.014
"P07","Siempre",0.287,0.273,0.295,0.251
"P07","Casi siempre",0.447,0.383,0.486,0.505
"P07","Casi nunca",0.22,0.264,0.175,0.185
"P07","Nunca, pero esta es una excepción",0.046,0.08,0.044,0.059
"P08","Tiene Decidido que va a ir a votar",0.869,0.871,0.835,0.824
"P08","Tiene dudas sobre si va a ir a  votar",0.092,0.055,0.13,0.143
"P08","Tiene Decidido que no va a ir a votar",0.039,0.074,0.035,0.033
"P10","Unión por la Patria",0.755,0.112,0.168,0.1
"P10","Juntos por el Cambio",0.13,0.471,0.677,0.733
"P10","Liberales",0.039,0.346,0.022,0.031
"P10","Izquierda",0.046,0.01,0.045,0.016
"P10","Otro",0.004,0.023,0.044,0.029
"P10","No sabe",0.026,0.038,0.044,0.091
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.626,0.005,0.056,0.012
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.208,0.028,0.061,0.007
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.032,0.479,0.439,0.542
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.06,0.067,0.288,0.283
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.017,0.371,0.019,0.023
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.02,0.053,0.016
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.003,0.016,0.035
"P11","Otros",0.008,0.002,0.03,0.008
"P11","En blanco",0,0.009,0.03,0.014
"P11","No sabe",0.01,0.016,0.008,0.06
"P14","Totalmente seguro",0.656,0.684,0.642,0.502
"P14","Bastante seguro",0.181,0.146,0.197,0.178
"P14","Algo seguro",0.095,0.113,0.069,0.173
"P14","Para nada seguro",0.068,0.057,0.092,0.147
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.698,0.036,0.133,0.023
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.037,0.456,0.479,0.52
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.099,0.123,0.255,0.253
"P15","Ramiro Marra por la Libertad Avanza",0.067,0.32,0.027,0.084
"P15","Vanina Biasi por el Frente de Izquierda",0.058,0.03,0.036,0.007
"P15","Otros",0.031,0.01,0.023,0.033
"P15","En blanco",0,0.005,0.028,0.01
"P15","No sabe",0.01,0.02,0.019,0.07
"P18","Totalmente seguro",0.692,0.727,0.667,0.515
"P18","Bastante seguro",0.155,0.149,0.196,0.214
"P18","Algo seguro",0.092,0.088,0.099,0.135
"P18","Para nada seguro",0.061,0.036,0.038,0.136
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.51,0.049,0.07,0.027
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.248,0.019,0.067,0.024
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.069,0.339,0.401,0.509
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.061,0.175,0.242,0.28
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.037,0.327,0.055,0.035
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.034,0.003,0.038,0.007
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.003,0.027,0.019
"P23","Otros",0.016,0.007,0.026,0.01
"P23","En blanco",0.011,0.053,0.054,0.004
"P23","No sabe",0.01,0.025,0.02,0.085
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.515,0.028,0.157,0.052
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.053,0.348,0.355,0.494
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.12,0.214,0.172,0.241
"P26","Ramiro Marra por la Libertad Avanza",0.048,0.236,0.068,0.08
"P26","Vanina Biasi por el Frente de Izquierda",0.124,0.022,0.037,0.022
"P26","Otros",0.05,0.017,0.07,0.016
"P26","En blanco",0.058,0.074,0.092,0.009
"P26","No sabe",0.032,0.061,0.049,0.086
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.783,0.027,0.082,0.012
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.057,0.513,0.603,0.705
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.409,0.046,0.023
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.054,0.005,0.061,0.019
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.017,0.037,0.039
"P30","Otros",0.018,0.005,0.04,0.047
"P30","En blanco",0.03,0.005,0.103,0.039
"P30","No sabe",0.022,0.019,0.028,0.116
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.777,0.025,0.103,0.014
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.084,0.395,0.568,0.65
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.504,0.039,0.054
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.057,0.011,0.068,0.022
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.029,0.017,0.039
"P31","Otros",0.015,0.01,0.074,0.036
"P31","En blanco",0.007,0.008,0.092,0.015
"P31","No sabe",0.035,0.018,0.039,0.17
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.797,0.024,0.137,0.012
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.065,0.549,0.61,0.751
"P32","Ramiro Marra por la Libertad Avanza",0.036,0.328,0.033,0.039
"P32","Vanina Biasi por el Frente de Izquierda",0.037,0.024,0.039,0.011
"P32","Otros",0.022,0.017,0.055,0.055
"P32","En blanco",0.023,0.01,0.076,0.02
"P32","No sabe",0.02,0.048,0.05,0.112
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.775,0.035,0.158,0.01
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.14,0.424,0.51,0.573
"P33","Ramiro Marra por la Libertad Avanza",0.024,0.428,0.027,0.066
"P33","Vanina Biasi por el Frente de Izquierda",0.024,0.012,0.034,0.011
"P33","Otros",0.018,0.035,0.094,0.078
"P33","En blanco",0.012,0.035,0.13,0.043
"P33","No sabe",0.007,0.031,0.047,0.219
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.89,0.052,0.117,0.027
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.821,0.632,0.737
"P36","En blanco",0.046,0.091,0.241,0.025
"P36","No sabe",0.011,0.036,0.01,0.211
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.157,0.544,0.608,0.701
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.415,0.044,0.051
"P37","En blanco",0.608,0.032,0.331,0.044
"P37","No sabe",0.173,0.009,0.017,0.204
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.88,0.052,0.107,0.025
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.074,0.617,0.557,0.634
"P38","En blanco",0.039,0.256,0.304,0.039
"P38","No sabe",0.007,0.075,0.032,0.302
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.244,0.363,0.565,0.575
