"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.506,0.482,0.622,0.473
"P06","Bastante",0.346,0.304,0.276,0.32
"P06","Poco",0.121,0.189,0.083,0.155
"P06","Nada",0.021,0.025,0.015,0.04
"P06","No sabe",0.006,0,0.004,0.012
"P07","Siempre",0.28,0.27,0.288,0.272
"P07","Casi siempre",0.485,0.296,0.461,0.452
"P07","Casi nunca",0.189,0.33,0.206,0.216
"P07","Nunca, pero esta es una excepción",0.046,0.104,0.045,0.06
"P08","Tiene Decidido que va a ir a votar",0.859,0.813,0.873,0.879
"P08","Tiene dudas sobre si va a ir a  votar",0.104,0.101,0.08,0.073
"P08","Tiene Decidido que no va a ir a votar",0.037,0.086,0.047,0.048
"P10","Unión por la Patria",0.16,0.208,0.65,0.553
"P10","Juntos por el Cambio",0.74,0.15,0.169,0.252
"P10","Liberales",0.052,0.576,0.036,0.028
"P10","Izquierda",0.004,0.005,0.078,0.033
"P10","Otro",0.023,0.022,0.018,0.014
"P10","No sabe",0.021,0.039,0.049,0.12
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.055,0.091,0.525,0.461
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.04,0.027,0.2,0.161
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.637,0.189,0.037,0.043
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.195,0.037,0.081,0.186
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.037,0.614,0.022,0.022
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0,0.079,0.023
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.002,0.012,0.027
"P11","Otros",0.003,0.009,0.019,0.003
"P11","En blanco",0.004,0.009,0.019,0.015
"P11","No sabe",0.013,0.022,0.006,0.059
"P14","Totalmente seguro",0.629,0.671,0.652,0.595
"P14","Bastante seguro",0.166,0.154,0.191,0.152
"P14","Algo seguro",0.125,0.137,0.069,0.136
"P14","Para nada seguro",0.08,0.038,0.088,0.117
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.071,0.11,0.65,0.525
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.552,0.198,0.072,0.106
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.202,0.076,0.139,0.147
"P15","Ramiro Marra por la Libertad Avanza",0.084,0.569,0.029,0.069
"P15","Vanina Biasi por el Frente de Izquierda",0.03,0.037,0.057,0.023
"P15","Otros",0.022,0.01,0.034,0.035
"P15","En blanco",0.008,0,0.013,0.01
"P15","No sabe",0.031,0,0.006,0.085
"P18","Totalmente seguro",0.634,0.737,0.7,0.656
"P18","Bastante seguro",0.187,0.122,0.18,0.113
"P18","Algo seguro",0.117,0.109,0.075,0.095
"P18","Para nada seguro",0.062,0.032,0.045,0.136
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.087,0.071,0.425,0.443
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.04,0.043,0.242,0.12
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.429,0.347,0.062,0.136
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.253,0.078,0.095,0.102
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.14,0.344,0.027,0.033
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.002,0.008,0.051,0.034
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.002,0.018,0.015
"P23","Otros",0.003,0.009,0.034,0.007
"P23","En blanco",0.017,0.08,0.033,0
"P23","No sabe",0.023,0.018,0.013,0.11
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.113,0.052,0.468,0.427
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.44,0.219,0.049,0.137
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.227,0.199,0.077,0.159
"P26","Ramiro Marra por la Libertad Avanza",0.101,0.294,0.063,0.039
"P26","Vanina Biasi por el Frente de Izquierda",0.026,0.054,0.122,0.071
"P26","Otros",0.022,0.012,0.078,0.042
"P26","En blanco",0.03,0.109,0.097,0.025
"P26","No sabe",0.041,0.061,0.046,0.1
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.082,0.086,0.684,0.588
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.778,0.203,0.045,0.082
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.658,0.033,0.018
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.01,0.096,0.043
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.016,0.009,0.028,0.055
"P30","Otros",0.024,0.003,0.023,0.032
"P30","En blanco",0.02,0.021,0.077,0.011
"P30","No sabe",0.032,0.01,0.014,0.171
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.08,0.121,0.664,0.561
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.614,0.209,0.094,0.207
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.132,0.651,0.042,0.019
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.01,0.096,0.046
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.007,0.016,0.028
"P31","Otros",0.037,0,0.029,0.018
"P31","En blanco",0.036,0,0.028,0.012
"P31","No sabe",0.067,0.002,0.031,0.109
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.087,0.101,0.731,0.619
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.761,0.218,0.048,0.182
"P32","Ramiro Marra por la Libertad Avanza",0.052,0.549,0.045,0.02
"P32","Vanina Biasi por el Frente de Izquierda",0.016,0.011,0.066,0.011
"P32","Otros",0.027,0.019,0.04,0.035
"P32","En blanco",0.017,0.007,0.056,0.026
"P32","No sabe",0.04,0.095,0.014,0.107
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.089,0.115,0.719,0.58
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.576,0.26,0.125,0.201
"P33","Ramiro Marra por la Libertad Avanza",0.114,0.575,0.009,0.079
"P33","Vanina Biasi por el Frente de Izquierda",0.013,0.011,0.045,0.009
"P33","Otros",0.067,0.009,0.043,0.011
"P33","En blanco",0.057,0.017,0.055,0.017
"P33","No sabe",0.084,0.013,0.004,0.103
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.128,0.159,0.725,0.642
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.842,0.61,0.057,0.126
"P36","En blanco",0.014,0.155,0.198,0.009
"P36","No sabe",0.016,0.076,0.02,0.223
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.141,0.129,0.72,0.625
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.676,0.476,0.071,0.21
"P38","En blanco",0.112,0.279,0.177,0.025
"P38","No sabe",0.071,0.116,0.032,0.14
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.653,0.185,0.174,0.254
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.175,0.771,0.057,0.047
"P39","En blanco",0.071,0.034,0.682,0.125
"P39","No sabe",0.101,0.01,0.087,0.574
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.131,0.136,0.738,0.65
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.384,0.771,0.034,0.028
"P40","En blanco",0.263,0.05,0.208,0.032
"P40","No sabe",0.222,0.043,0.02,0.29
"P41","Leandro Santoro por Unión por la Patria",0.16,0.192,0.753,0.631
"P41","Jorge Macri por Juntos por el Cambio",0.785,0.558,0.058,0.15
"P41","En blanco",0.029,0.199,0.185,0.047
"P41","No sabe",0.026,0.051,0.004,0.172
"P42","Leandro Santoro por Unión por la Patria",0.129,0.161,0.791,0.632
"P42","Martin Lousteau por Juntos por el Cambio",0.59,0.405,0.1,0.232
"P42","En blanco",0.171,0.365,0.103,0.023
"P42","No sabe",0.11,0.069,0.006,0.113
"P43","Lo votaría",0.089,0.147,0.678,0.618
"P43","Puede que lo vote",0.096,0.116,0.104,0.064
"P43","Nunca lo votaría",0.793,0.691,0.196,0.224
"P43","No sabe",0.022,0.046,0.022,0.094
"P44","Lo votaría",0.079,0.152,0.528,0.392
