"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Mucho",0.656,0.491,0.401,0.562,0.545,0.467,0.267
"P06","Bastante",0.245,0.377,0.347,0.207,0.262,0.315,0.404
"P06","Poco",0.076,0.11,0.228,0.135,0.174,0.207,0.277
"P06","Nada",0.021,0.018,0.024,0.082,0.008,0.011,0.026
"P06","No sabe",0.002,0.004,0,0.014,0.011,0,0.026
"P07","Siempre",0.284,0.287,0.235,0.467,0.249,0.147,0.121
"P07","Casi siempre",0.446,0.467,0.282,0.187,0.385,0.446,0.331
"P07","Casi nunca",0.228,0.198,0.354,0.182,0.25,0.37,0.406
"P07","Nunca, pero esta es una excepción",0.042,0.048,0.129,0.164,0.116,0.037,0.142
"P08","Tiene Decidido que va a ir a votar",0.874,0.884,0.864,0.642,0.79,0.71,0.745
"P08","Tiene dudas sobre si va a ir a  votar",0.097,0.085,0.068,0.219,0.137,0.133,0.132
"P08","Tiene Decidido que no va a ir a votar",0.029,0.031,0.068,0.139,0.073,0.157,0.123
"P10","Unión por la Patria",0.789,0.132,0.105,0.142,0.18,0.333,0.206
"P10","Juntos por el Cambio",0.117,0.781,0.113,0.211,0.469,0.181,0.329
"P10","Liberales",0.032,0.042,0.745,0.021,0.086,0.069,0.097
"P10","Izquierda",0.014,0.011,0.006,0.509,0.092,0.161,0.059
"P10","Otro",0.006,0.023,0.009,0,0.113,0.124,0.021
"P10","No sabe",0.042,0.011,0.022,0.117,0.06,0.132,0.288
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.636,0.019,0.058,0.134,0.085,0.09,0.097
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.208,0.009,0.03,0.327,0.101,0.162,0
