"var","categoria","Si","No"
"P06","Mucho",0.559,0.524
"P06","Bastante",0.336,0.303
"P06","Poco",0.089,0.144
"P06","Nada",0.016,0.02
"P06","No sabe",0,0.009
"P07","Siempre",0.393,0.197
"P07","Casi siempre",0.437,0.458
"P07","Casi nunca",0.127,0.294
"P07","Nunca, pero esta es una excepción",0.043,0.051
"P08","Tiene Decidido que va a ir a votar",0.891,0.825
"P08","Tiene dudas sobre si va a ir a  votar",0.076,0.099
"P08","Tiene Decidido que no va a ir a votar",0.033,0.076
"P10","Unión por la Patria",0.35,0.378
"P10","Juntos por el Cambio",0.446,0.387
"P10","Liberales",0.137,0.121
"P10","Izquierda",0.04,0.024
"P10","Otro",0.012,0.027
"P10","No sabe",0.015,0.063
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.235,0.258
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.096,0.097
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.333,0.313
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.154,0.119
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.12,0.125
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.028
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0.013
"P11","Otros",0.014,0.007
"P11","En blanco",0.008,0.014
"P11","No sabe",0.001,0.026
"P14","Totalmente seguro",0.72,0.608
"P14","Bastante seguro",0.141,0.168
"P14","Algo seguro",0.102,0.127
"P14","Para nada seguro",0.037,0.097
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.286,0.288
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.334,0.304
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.154,0.162
"P15","Ramiro Marra por la Libertad Avanza",0.14,0.151
"P15","Vanina Biasi por el Frente de Izquierda",0.038,0.034
"P15","Otros",0.03,0.017
"P15","En blanco",0.007,0.009
"P15","No sabe",0.011,0.035
"P18","Totalmente seguro",0.716,0.637
"P18","Bastante seguro",0.163,0.146
"P18","Algo seguro",0.072,0.14
"P18","Para nada seguro",0.049,0.077
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.237,0.215
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.105,0.133
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.302
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.151,0.144
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.154,0.09
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.017,0.014
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.01
"P23","Otros",0.005,0.025
"P23","En blanco",0.043,0.028
"P23","No sabe",0.009,0.039
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.229,0.248
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.239,0.276
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.177,0.157
"P26","Ramiro Marra por la Libertad Avanza",0.128,0.102
