"var","categoria","Leandro Santoro por Unión por la Patria","Jorge Macri por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.633,0.501,0.535,0.36
"P06","Bastante",0.261,0.34,0.362,0.303
"P06","Poco",0.088,0.135,0.103,0.235
"P06","Nada",0.013,0.021,0,0.068
"P06","No sabe",0.005,0.003,0,0.034
"P07","Siempre",0.281,0.273,0.318,0.261
"P07","Casi siempre",0.456,0.484,0.345,0.408
"P07","Casi nunca",0.216,0.201,0.24,0.26
"P07","Nunca, pero esta es una excepción",0.047,0.042,0.097,0.071
"P08","Tiene Decidido que va a ir a votar",0.867,0.874,0.885,0.723
"P08","Tiene dudas sobre si va a ir a  votar",0.104,0.08,0.094,0.176
"P08","Tiene Decidido que no va a ir a votar",0.029,0.046,0.021,0.101
"P10","Unión por la Patria",0.742,0.098,0.193,0.211
"P10","Juntos por el Cambio",0.146,0.693,0.225,0.394
"P10","Liberales",0.039,0.158,0.331,0.121
"P10","Izquierda",0.033,0.011,0.113,0.028
"P10","Otro",0.006,0.016,0.07,0.03
"P10","No sabe",0.034,0.024,0.068,0.216
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.562,0.014,0.156,0.115
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.227,0.012,0.099,0
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.605,0.114,0.174
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.058,0.192,0.087,0.249
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.018,0.146,0.322,0.205
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.049,0.002,0.092,0.015
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.003,0.005,0.025
"P11","Otros",0.005,0.006,0.047,0.013
"P11","En blanco",0,0.005,0.073,0.023
"P11","No sabe",0.014,0.015,0.005,0.181
"P14","Totalmente seguro",0.65,0.672,0.682,0.418
"P14","Bastante seguro",0.16,0.169,0.153,0.163
"P14","Algo seguro",0.093,0.104,0.097,0.217
"P14","Para nada seguro",0.097,0.055,0.068,0.202
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.69,0.01,0.222,0.035
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.077,0.581,0.025,0.218
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.104,0.181,0.205,0.306
"P15","Ramiro Marra por la Libertad Avanza",0.061,0.17,0.308,0.186
"P15","Vanina Biasi por el Frente de Izquierda",0.039,0.014,0.101,0.045
"P15","Otros",0.022,0.014,0.066,0.01
"P15","En blanco",0,0.006,0.051,0.013
"P15","No sabe",0.007,0.024,0.022,0.187
"P18","Totalmente seguro",0.704,0.668,0.622,0.51
"P18","Bastante seguro",0.153,0.178,0.215,0.075
"P18","Algo seguro",0.08,0.113,0.089,0.187
"P18","Para nada seguro",0.063,0.041,0.074,0.228
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.478,0.044,0.116,0.105
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.237,0.018,0.133,0.033
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.47,0.125,0.278
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.073,0.224,0.062,0.174
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.178,0.192,0.134
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.001,0.064,0.015
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.006,0.036,0.022
"P23","Otros",0.009,0.007,0.069,0
"P23","En blanco",0.007,0.027,0.165,0.012
"P23","No sabe",0.01,0.025,0.038,0.227
