"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.342,0.321,0.362,0.263,0.37,0.365,0.342,0.332,0.326,0.372,0.663,0.107,0.307,0.763,0.69,0.052,0.159,0.047,0.305,0.279,0.396,0.394
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.452,0.516,0.39,0.591,0.473,0.391,0.329,0.43,0.478,0.438,0.245,0.619,0.494,0.162,0.205,0.564,0.478,0.886,0.472,0.508,0.446,0.411
"En blanco",0.107,0.094,0.12,0.076,0.084,0.134,0.158,0.11,0.098,0.116,0.051,0.15,0.092,0.04,0.062,0.219,0.168,0.033,0.129,0.1,0.106,0.092
"No sabe",0.099,0.069,0.128,0.07,0.073,0.11,0.171,0.128,0.098,0.074,0.041,0.124,0.107,0.035,0.043,0.165,0.195,0.034,0.094,0.113,0.052,0.103
