"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.457,0.221,0.21
"P06","Bastante",0.302,0.254,0.095
"P06","Poco",0.185,0.318,0.4
"P06","Nada",0.038,0.152,0.222
"P06","No sabe",0.018,0.055,0.073
"P07","Siempre",0.252,0.1,0.104
"P07","Casi siempre",0.359,0.471,0.092
"P07","Casi nunca",0.267,0.282,0.567
"P07","Nunca, pero esta es una excepción",0.122,0.147,0.237
"P11","Unión por la Patria",0.292,0.225,0.225
"P11","Juntos por el Cambio",0.244,0.237,0.195
"P11","Liberales",0.288,0.211,0.164
"P11","Izquierda",0.032,0.034,0.068
"P11","Otro",0.066,0.057,0.111
"P11","No sabe",0.078,0.236,0.237
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.309,0.268,0.262
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.249,0.295,0.214
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.333,0.257,0.196
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.045,0.069
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.011,0.038
"P12","Otros",0.018,0.042,0.03
"P12","En blanco",0.012,0.024,0.086
"P12","No sabe",0.036,0.058,0.105
"P15","Totalmente seguro",0.713,0.562,0.441
"P15","Bastante seguro",0.141,0.121,0.156
"P15","Algo seguro",0.088,0.175,0.151
"P15","Para nada seguro",0.058,0.142,0.252
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.262,0.225,0.287
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.279,0.339,0.233
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.245,0.208,0.117
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.052,0.106,0.065
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.031,0.017,0.06
"P24","Otros",0.036,0.057,0.06
"P24","En blanco",0.055,0.028,0.097
"P24","No sabe",0.04,0.02,0.081
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.361,0.33,0.289
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.423,0.374,0.196
"P31","En blanco",0.114,0.121,0.278
"P31","No sabe",0.102,0.175,0.237
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.312,0.354,0.307
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.347,0.314,0.221
"P32","En blanco",0.212,0.153,0.266
"P32","No sabe",0.129,0.179,0.206
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.348,0.297,0.283
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.463,0.418,0.287
"P33","En blanco",0.102,0.115,0.199
"P33","No sabe",0.087,0.17,0.231
"P35","Lo votaría",0.337,0.299,0.282
"P35","Puede que lo vote",0.098,0.168,0.118
"P35","Nunca lo votaría",0.518,0.439,0.499
"P35","No sabe",0.047,0.094,0.101
"P36","Lo votaría",0.317,0.336,0.227
"P36","Puede que lo vote",0.186,0.224,0.071
"P36","Nunca lo votaría",0.437,0.372,0.624
"P36","No sabe",0.06,0.068,0.078
"P37","Lo votaría",0.346,0.286,0.232
"P37","Puede que lo vote",0.164,0.195,0.098
"P37","Nunca lo votaría",0.447,0.44,0.571
"P37","No sabe",0.043,0.079,0.099
"P38","Lo votaría",0.075,0.155,0.155
"P38","Puede que lo vote",0.174,0.126,0.114
"P38","Nunca lo votaría",0.679,0.567,0.627
"P38","No sabe",0.072,0.152,0.104
"P39","Lo votaría",0.078,0.106,0.111
"P39","Puede que lo vote",0.202,0.216,0.107
"P39","Nunca lo votaría",0.648,0.523,0.678
"P39","No sabe",0.072,0.155,0.104
"P52","Si",0.477,0.429,0.207
"P52","No",0.523,0.571,0.793
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.309,0.268,0.253
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.25,0.276,0.226
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.334,0.269,0.196
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.044,0.07
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.029,0.038
"PRESIDENTE","Otros",0.018,0.036,0.026
"PRESIDENTE","En blanco",0.013,0.026,0.088
"PRESIDENTE","No sabe",0.032,0.052,0.103
