"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P06","Mucho",0.648,0.413,0.317,0.289
"P06","Bastante",0.2,0.388,0.271,0.198
"P06","Poco",0.111,0.169,0.313,0.251
"P06","Nada",0.035,0.021,0.063,0.182
"P06","No sabe",0.006,0.009,0.036,0.08
"P08","Tiene Decidido que va a ir a votar",0.943,0.891,0.813,0.812
"P08","Tiene dudas sobre si va a ir a  votar",0.03,0.094,0.069,0.079
"P08","Tiene Decidido que no va a ir a votar",0.027,0.015,0.118,0.109
"P11","Unión por la Patria",0.354,0.294,0.247,0.192
"P11","Juntos por el Cambio",0.248,0.293,0.204,0.149
"P11","Liberales",0.261,0.249,0.316,0.308
"P11","Izquierda",0.03,0.029,0.04,0.043
"P11","Otro",0.052,0.058,0.073,0.115
"P11","No sabe",0.055,0.077,0.12,0.193
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.356,0.312,0.283,0.21
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.269,0.295,0.208,0.158
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.293,0.288,0.356,0.419
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.026,0.026,0.03
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.024,0.02,0.033
"P12","Otros",0.012,0.012,0.036,0.03
"P12","En blanco",0.014,0.008,0.023,0.028
"P12","No sabe",0.021,0.035,0.048,0.092
"P15","Totalmente seguro",0.756,0.693,0.649,0.643
"P15","Bastante seguro",0.124,0.153,0.143,0.127
"P15","Algo seguro",0.075,0.1,0.112,0.092
"P15","Para nada seguro",0.045,0.054,0.096,0.138
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.326,0.255,0.231,0.179
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.271,0.297,0.266,0.278
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.227,0.226,0.252,0.273
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.07,0.051,0.045
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.037,0.034,0.03
"P24","Otros",0.035,0.027,0.058,0.049
"P24","En blanco",0.054,0.035,0.071,0.097
"P24","No sabe",0.022,0.053,0.037,0.049
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.415,0.355,0.323,0.284
