"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.356,0.333,0.378,0.287,0.395,0.37,0.329,0.354,0.351,0.364,0.706,0.111,0.266,0.799,0.711,0.039,0.133,0.079,0.315,0.295,0.421,0.409
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.41,0.4,0.419,0.386,0.363,0.441,0.493,0.35,0.4,0.476,0.125,0.682,0.429,0.11,0.126,0.888,0.674,0.445,0.451,0.409,0.273,0.392
"En blanco",0.122,0.151,0.094,0.19,0.131,0.087,0.075,0.138,0.129,0.097,0.099,0.094,0.205,0.042,0.115,0.031,0.072,0.279,0.127,0.148,0.178,0.099
"No sabe",0.112,0.116,0.109,0.137,0.111,0.102,0.103,0.158,0.12,0.063,0.07,0.113,0.1,0.049,0.048,0.042,0.121,0.197,0.107,0.148,0.128,0.1
