"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Siempre",0.231,0.239,0.223,0.195,0.223,0.24,0.282,0.278,0.204,0.218,0.263,0.256,0.14,0.334,0.284,0.258,0.203,0.202,0.23,0.19,0.236,0.248
"Casi siempre",0.351,0.337,0.364,0.279,0.328,0.416,0.417,0.275,0.371,0.404,0.356,0.379,0.408,0.347,0.379,0.437,0.414,0.316,0.346,0.357,0.418,0.345
"Casi nunca",0.286,0.274,0.297,0.345,0.31,0.249,0.203,0.264,0.305,0.283,0.284,0.252,0.382,0.228,0.263,0.241,0.279,0.306,0.29,0.31,0.217,0.281
"Nunca, pero esta es una excepción",0.132,0.15,0.116,0.181,0.139,0.095,0.098,0.183,0.12,0.095,0.097,0.113,0.07,0.091,0.074,0.064,0.104,0.176,0.134,0.143,0.129,0.126
