"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.512,0.422,0.496,0.551,0.342,0.27,0.494,0.313
"P06","Bastante",0.291,0.284,0.267,0.187,0.314,0.351,0.26,0.305
"P06","Poco",0.167,0.262,0.182,0.222,0.268,0.316,0.167,0.257
"P06","Nada",0.022,0.024,0.028,0.04,0.045,0.061,0.079,0.104
"P06","No sabe",0.008,0.008,0.027,0,0.031,0.002,0,0.021
"P07","Siempre",0.328,0.253,0.251,0.204,0.179,0.235,0.26,0.143
"P07","Casi siempre",0.391,0.422,0.38,0.497,0.473,0.278,0.256,0.519
"P07","Casi nunca",0.215,0.23,0.258,0.222,0.258,0.364,0.314,0.22
"P07","Nunca, pero esta es una excepción",0.066,0.095,0.111,0.077,0.09,0.123,0.17,0.118
"P08","Tiene Decidido que va a ir a votar",0.889,0.876,0.914,0.812,0.875,0.825,0.885,0.876
"P08","Tiene dudas sobre si va a ir a  votar",0.063,0.088,0.064,0.137,0.04,0.106,0.037,0.036
"P08","Tiene Decidido que no va a ir a votar",0.048,0.036,0.022,0.051,0.085,0.069,0.078,0.088
"P11","Unión por la Patria",0.736,0.076,0.086,0.618,0.251,0.182,0.283,0.171
"P11","Juntos por el Cambio",0.082,0.478,0.238,0.095,0.18,0.227,0.184,0.207
"P11","Liberales",0.085,0.342,0.549,0.046,0.186,0.166,0.286,0.054
"P11","Izquierda",0.024,0.01,0.013,0.169,0.099,0.011,0.02,0.009
"P11","Otro",0.03,0.058,0.06,0.035,0.196,0.109,0.071,0.045
"P11","No sabe",0.043,0.036,0.054,0.037,0.088,0.305,0.156,0.514
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.762,0.071,0.06,0.67,0.242,0.185,0.253,0.215
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.535,0.254,0.099,0.264,0.199,0.165,0.168
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.088,0.356,0.638,0.052,0.188,0.208,0.314,0.075
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.004,0.023,0.128,0.063,0.006,0.052,0.01
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.013,0.007,0.022,0.132,0.029,0.021,0.028
"P12","Otros",0.015,0.007,0.003,0.003,0.107,0.256,0.055,0.032
"P12","En blanco",0.009,0.003,0.008,0.01,0.004,0.039,0.093,0
"P12","No sabe",0.007,0.011,0.007,0.016,0,0.078,0.047,0.472
"P15","Totalmente seguro",0.739,0.71,0.752,0.667,0.607,0.592,0.658,0.284
"P15","Bastante seguro",0.124,0.176,0.116,0.14,0.195,0.098,0.163,0.189
