"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Mucho",0.415,0.46,0.373,0.407,0.42,0.418,0.409,0.391,0.362,0.515,0.469,0.461,0.341,0.52,0.508,0.438,0.397,0.43,0.434,0.356,0.429,0.423
"Bastante",0.287,0.253,0.318,0.279,0.265,0.308,0.318,0.192,0.328,0.33,0.293,0.294,0.263,0.268,0.267,0.358,0.321,0.281,0.26,0.272,0.282,0.316
"Poco",0.214,0.213,0.214,0.219,0.225,0.208,0.19,0.286,0.227,0.119,0.179,0.197,0.291,0.174,0.175,0.167,0.206,0.221,0.214,0.286,0.18,0.187
"Nada",0.058,0.054,0.063,0.05,0.066,0.051,0.064,0.087,0.059,0.027,0.048,0.038,0.08,0.027,0.037,0.028,0.039,0.05,0.064,0.054,0.093,0.052
"No sabe",0.026,0.02,0.032,0.045,0.024,0.015,0.019,0.044,0.024,0.009,0.011,0.01,0.025,0.011,0.013,0.009,0.037,0.018,0.028,0.032,0.016,0.022
