"var","categoria","Liliana Alvarado por Nos Une Río Negro","Hernán Cáceres por Cambia Cinco Saltos","Quique Rossi por Avancemos Cinco Saltos","María Elena Vogel por Juntos Somos Río Negro","Silvina Gastiazoro por Nueva Generación","Miguel Vidal por el Partido Socialista","Martín Palumbo por Vamos Con Todos","Norberto Soto por la UCR"
"P05","Siempre",0.249,0.096,0.127,0.15,0.099,0.137,0.387,0.121
"P05","Casi siempre",0.213,0.186,0.268,0.284,0.173,0.19,0.226,0.358
"P05","Casi nunca",0.381,0.456,0.315,0.281,0.334,0.408,0.112,0.314
"P05","Nunca, pero esta es una excepción",0.157,0.262,0.29,0.285,0.394,0.265,0.275,0.207
"P07","Muy de acuerdo",0.253,0.181,0.158,0.188,0,0.13,0.264,0.336
"P07","De acuerdo",0.338,0.335,0.282,0.322,0.437,0.29,0,0.199
"P07","Ni a favor ni en contra",0.241,0.291,0.328,0.293,0.313,0.229,0.371,0.123
"P07","En desacuerdo",0.091,0.061,0.092,0.097,0.065,0.101,0.279,0.104
"P07","Muy en desacuerdo",0.071,0.116,0.121,0.1,0.156,0.18,0.086,0.238
"P07","No sabe",0.006,0.016,0.019,0,0.029,0.07,0,0
"P08","Muy buena",0.183,0.006,0,0.045,0.024,0,0,0.029
"P08","Buena",0.333,0.067,0.057,0.121,0.304,0.036,0,0.209
"P08","Ni buena ni mala",0.279,0.405,0.397,0.39,0.221,0.194,0.12,0.218
"P08","Mala",0.074,0.252,0.253,0.27,0.107,0.157,0.403,0.183
"P08","Muy mala",0.043,0.172,0.252,0.095,0.239,0.152,0.401,0.27
"P08","No sabe",0.088,0.098,0.041,0.079,0.105,0.461,0.076,0.091
"P11","La votaría",0.547,0.091,0.023,0.1,0.178,0,0.075,0.129
"P11","Puede que la vote",0.202,0.194,0.159,0.244,0.168,0.139,0.072,0.098
"P11","Nunca la votaría",0.171,0.58,0.642,0.513,0.447,0.571,0.731,0.548
"P11","No sabe",0.08,0.135,0.176,0.143,0.207,0.29,0.122,0.225
"P12","Lo votaría",0.077,0.605,0.089,0.115,0.103,0.136,0,0.113
"P12","Puede que lo vote",0.361,0.194,0.337,0.31,0.164,0.212,0.357,0.134
"P12","Nunca lo votaría",0.402,0.079,0.352,0.33,0.423,0.312,0.519,0.554
"P12","No sabe",0.16,0.122,0.222,0.245,0.31,0.34,0.124,0.199
"P13","La votaría",0.044,0.06,0.045,0.442,0.025,0.02,0.05,0.169
"P13","Puede que la vote",0.184,0.315,0.199,0.174,0.231,0.263,0.118,0.05
"P13","Nunca la votaría",0.511,0.389,0.521,0.185,0.416,0.309,0.59,0.519
"P13","No sabe",0.261,0.236,0.235,0.199,0.328,0.408,0.242,0.262
"P14","Lo votaría",0.037,0.097,0.024,0.114,0.092,0.391,0,0.167
"P14","Puede que lo vote",0.111,0.153,0.126,0.228,0.147,0.162,0.041,0.05
"P14","Nunca lo votaría",0.653,0.525,0.618,0.528,0.481,0.107,0.786,0.554
"P14","No sabe",0.199,0.225,0.232,0.13,0.28,0.34,0.173,0.229
"P15","Lo votaría",0.045,0.051,0.566,0.059,0.06,0.018,0,0.141
"P15","Puede que lo vote",0.237,0.261,0.174,0.3,0.221,0.126,0.047,0.023
"P15","Nunca lo votaría",0.516,0.47,0.137,0.482,0.426,0.51,0.707,0.58
"P15","No sabe",0.202,0.218,0.123,0.159,0.293,0.346,0.246,0.256
"P16","Lo votaría",0.061,0.061,0.033,0.034,0.016,0,0.394,0.22
"P16","Puede que lo vote",0.069,0.096,0.133,0.128,0.081,0.085,0.233,0.033
"P16","Nunca lo votaría",0.553,0.555,0.566,0.576,0.517,0.494,0.192,0.537
"P16","No sabe",0.317,0.288,0.268,0.262,0.386,0.421,0.181,0.21
"P17","Lo votaría",0.039,0.027,0.011,0.019,0.141,0,0,0.34
"P17","Puede que lo vote",0.073,0.104,0.05,0.149,0.072,0.019,0,0.126
"P17","Nunca lo votaría",0.55,0.527,0.61,0.527,0.439,0.457,0.488,0.293
"P17","No sabe",0.338,0.342,0.329,0.305,0.348,0.524,0.512,0.241
"P18","La votaría",0.025,0.04,0.023,0.061,0.418,0.03,0,0.162
"P18","Puede que la vote",0.074,0.065,0.07,0.117,0.133,0.159,0.114,0
"P18","Nunca la votaría",0.548,0.56,0.572,0.543,0.22,0.414,0.455,0.491
"P18","No sabe",0.353,0.335,0.335,0.279,0.229,0.397,0.431,0.347
