"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.183,0.175,0.19,0.182,0.162,0.204,0.214,0.245,0.136,0.17,0.319,0.052,0.147,0.184,0.509,0.101
"A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.169,0.216,0.125,0.171,0.158,0.159,0.21,0.079,0.216,0.233,0.077,0.421,0.047,0.139,0,0
"A Quique Rossi  por Avancemos Cinco Saltos",0.081,0.113,0.05,0.09,0.113,0.015,0.063,0.115,0.054,0.077,0.039,0.139,0.239,0.106,0,0.296
"A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.158,0.142,0.173,0.138,0.11,0.326,0.109,0.208,0.121,0.147,0.336,0.053,0.285,0.104,0.121,0
"A Silvina Gastiazoro por Nueva Generación",0.022,0.027,0.017,0,0.039,0.026,0.018,0.033,0.012,0.022,0,0.01,0.024,0.119,0.231,0
"A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0.052,0.039,0.066,0.086,0.031,0.038,0.055,0.041,0.067,0.042,0.043,0.097,0,0,0,0.22
"A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.025,0.016,0.033,0,0.057,0.019,0,0,0.041,0.034,0,0.012,0.154,0,0,0.383
"A Norberto Soto por la UCR con el apoyo del radicalismo",0.029,0.032,0.026,0.052,0.026,0.018,0,0.02,0.026,0.05,0.017,0.02,0,0,0,0
"No sabe",0.281,0.24,0.32,0.281,0.304,0.195,0.331,0.259,0.327,0.225,0.169,0.196,0.104,0.348,0.139,0
