"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Liliana Alvarado por Nos Une Río Negro",0.174,0.187,0.162,0.128,0.161,0.275,0.18,0.194,0.142,0.203,0.259,0.131,0.172,0.087,0.358,0.117
"Hernán Cáceres por Cambia Cinco Saltos",0.252,0.228,0.275,0.284,0.241,0.212,0.263,0.22,0.282,0.253,0.179,0.463,0.191,0.115,0,0
"Quique Rossi por Avancemos Cinco Saltos",0.19,0.194,0.186,0.204,0.204,0.131,0.198,0.237,0.191,0.1,0.197,0.139,0.217,0.315,0,0.117
"María Elena Vogel por Juntos Somos Río Negro",0.156,0.186,0.128,0.154,0.163,0.136,0.168,0.144,0.153,0.183,0.219,0.073,0.06,0.085,0,0.414
"Silvina Gastiazoro por Nueva Generación",0.055,0.055,0.056,0.055,0.075,0.023,0.044,0.068,0.043,0.056,0.021,0.042,0.018,0.158,0.328,0
"Miguel Vidal por el Partido Socialista",0.102,0.07,0.13,0.125,0.066,0.143,0.089,0.063,0.125,0.124,0.08,0.103,0.083,0.139,0.251,0.099
"Martín Palumbo por Vamos Con Todos",0.032,0.025,0.039,0.027,0.037,0.033,0.032,0.017,0.047,0.029,0.017,0.016,0.259,0,0.063,0.253
"Norberto Soto por la UCR",0.039,0.055,0.024,0.023,0.053,0.047,0.026,0.057,0.017,0.052,0.028,0.033,0,0.101,0,0
