"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.192,0.209,0.176,0.197,0.162,0.2,0.245,0.236,0.135,0.225,0.262,0.074,0.262,0.13,0.541,0.117
"A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.297,0.297,0.296,0.304,0.289,0.302,0.291,0.211,0.339,0.366,0.162,0.621,0.074,0.268,0.091,0
"A Quique Rossi  por Avancemos Cinco Saltos",0.176,0.189,0.164,0.156,0.215,0.13,0.181,0.216,0.171,0.112,0.185,0.146,0.206,0.243,0,0.388
"A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.18,0.156,0.203,0.165,0.169,0.233,0.176,0.204,0.169,0.16,0.308,0.066,0.258,0.063,0.08,0.143
"A Silvina Gastiazoro por Nueva Generación",0.031,0.041,0.023,0.031,0.049,0.012,0.011,0.036,0.032,0.023,0.011,0.011,0.018,0.211,0.103,0
"A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0.069,0.057,0.08,0.088,0.056,0.068,0.062,0.063,0.085,0.049,0.051,0.043,0,0.085,0.057,0.099
"A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.032,0.014,0.048,0.038,0.029,0.031,0.027,0.009,0.053,0.03,0.006,0.026,0.182,0,0.128,0.253
"A Norberto Soto por la UCR con el apoyo del radicalismo",0.023,0.037,0.01,0.021,0.031,0.024,0.007,0.025,0.016,0.035,0.015,0.013,0,0,0,0
