"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P09_","Liliana Alvarado por Nos Une Río Negro",0.618,0.196,0.06,0.091
"P09_","Hernán Cáceres por Cambia Cinco Saltos",0.146,0.266,0.288,0.217
"P09_","Quique Rossi por Avancemos Cinco Saltos",0.029,0.172,0.251,0.221
"P09_","María Elena Vogel por Juntos Somos Río Negro",0.102,0.212,0.161,0.145
"P09_","Silvina Gastiazoro por Nueva Generación",0.061,0.049,0.048,0.071
"P09_","Miguel Vidal por el Partido Socialista",0,0.074,0.11,0.18
"P09_","Martín Palumbo por Vamos Con Todos",0.014,0.012,0.043,0.023
"P09_","Norberto Soto por la UCR",0.03,0.019,0.039,0.052
"P10_","A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.63,0.271,0.061,0.125
"P10_","A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.101,0.321,0.334,0.371
"P10_","A Quique Rossi  por Avancemos Cinco Saltos",0.135,0.146,0.204,0.181
"P10_","A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.075,0.206,0.217,0.156
"P10_","A Silvina Gastiazoro por Nueva Generación",0.033,0.014,0.041,0.022
"P10_","A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0,0.024,0.074,0.092
"P10_","A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.026,0.018,0.036,0.026
"P10_","A Norberto Soto por la UCR con el apoyo del radicalismo",0,0,0.033,0.027
