"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Siempre",0.235,0.246,0.225,0.208,0.237,0.24,0.272,0.358,0.196,0.175,0.271,0.158,0.222,0.222,0.284,0.209,0.28,0.193
"Casi siempre",0.34,0.33,0.35,0.293,0.315,0.394,0.417,0.258,0.375,0.367,0.309,0.453,0.429,0.289,0.367,0.328,0.312,0.366
"Casi nunca",0.301,0.305,0.296,0.301,0.318,0.299,0.238,0.293,0.272,0.347,0.299,0.285,0.303,0.337,0.234,0.341,0.275,0.325
"Nunca, pero esta es una excepción",0.124,0.119,0.129,0.198,0.13,0.067,0.073,0.091,0.157,0.111,0.121,0.104,0.046,0.152,0.115,0.122,0.133,0.116
